row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,offers,organizer,page_url
154,4937,976,905,0,2594,0,1,0,0,5777
155,4938,1010,939,0,2594,0,1,0,0,5778
156,1942,490,444,0,386,0,1,0,0,2162
157,6190,964,893,0,4378,0,1,0,0,6008
158,3708,909,839,0,2069,0,1,0,0,4000
159,169,177,237,0,2260,0,1,0,0,4526
160,2141,1000,929,0,996,0,1,0,0,2569
161,4525,1096,1025,0,2626,0,1,0,0,4936
162,5372,967,897,0,3182,0,1,0,0,6281
163,970,871,804,0,2035,0,1,0,0,1287
164,6271,974,904,0,4468,0,1,0,0,3552
165,4671,786,719,0,3563,0,1,0,0,5019
166,655,919,849,0,2219,0,1,0,0,921
167,1188,902,832,0,2045,0,1,0,0,1454
168,6620,686,624,0,1332,0,1,0,0,7271
169,3499,628,569,0,4468,0,1,0,0,5583
170,5100,921,851,0,244,0,1,0,0,5693
171,3919,439,404,0,2358,0,1,0,0,4297
172,33,1064,993,0,1451,0,1,0,0,6698
173,505,825,1090,0,4468,0,1,0,0,814
174,1348,687,625,0,918,0,1,0,0,1707
175,5911,820,753,0,2198,0,1,0,0,6642
176,5564,836,769,0,1836,0,1,0,0,1053
177,2092,661,600,0,4468,0,1,0,0,6789
178,2426,806,739,0,4468,0,1,0,0,2676
179,3770,1064,994,0,454,0,1,0,0,4076
180,4407,1234,1174,0,301,0,1,0,0,4803
181,4689,1007,965,0,2684,0,1,0,0,5052
182,4409,1131,1058,0,2859,0,1,0,0,4805
183,217,679,617,0,3426,0,1,0,0,560
184,816,1029,959,0,4157,0,1,0,0,1038
185,4567,1029,958,0,1033,0,1,0,0,3044
186,4222,327,317,0,2271,0,1,0,0,4550
187,269,726,667,0,4468,0,1,0,0,607
188,3644,1070,999,0,2183,0,1,0,0,3900
189,6456,1050,979,0,4468,0,1,0,0,7193
190,2457,154,152,0,106,0,1,0,0,2970
191,6392,836,769,0,4161,0,1,0,0,7105
192,6001,1050,979,0,4201,0,1,0,0,2943
193,159,208,196,0,3488,0,1,0,0,495
194,1763,460,701,0,2685,0,1,0,0,2170
195,2055,1030,959,0,2203,0,1,0,0,2317
196,4620,882,814,0,53,0,1,0,0,4794
197,624,772,706,0,2477,0,1,0,0,896
198,1412,270,256,0,3804,0,1,0,0,1877
199,432,606,551,0,1134,0,1,0,0,746
200,5166,645,584,0,3405,0,1,0,0,5871
201,2851,1077,1005,0,3893,0,1,0,0,3315
202,2574,815,748,0,2744,0,1,0,0,3858
203,3697,836,769,0,1779,0,1,0,0,3976
204,1650,779,713,0,1593,0,1,0,0,5669
205,681,814,848,0,4282,0,1,0,0,944
206,4687,946,905,0,2684,0,1,0,0,5050
207,4798,1118,1046,0,2108,0,1,0,0,5214
208,1551,274,260,0,4182,0,1,0,0,514
209,4174,1057,986,0,2224,0,1,0,0,4402
210,4117,907,996,0,4468,0,1,0,0,4581
211,5992,786,719,0,4201,0,1,0,0,2935
212,415,685,624,0,839,0,1,0,0,730
213,4328,794,727,0,3310,0,1,0,0,4688
214,3900,966,897,0,1704,0,1,0,0,4309
215,1501,975,904,0,3440,0,1,0,0,1916
216,6135,541,493,0,4379,0,1,0,0,5974
217,212,376,356,0,296,0,1,0,0,554
218,2009,1035,966,0,4169,0,1,0,0,2247
219,2077,786,719,0,2368,0,1,0,0,2341
220,2250,526,478,0,4427,0,1,0,0,2646
221,964,1126,1054,0,2372,0,1,0,0,1228
222,6707,1064,993,0,3656,0,1,0,0,7410
223,2350,549,637,0,4468,0,1,0,0,4167
224,896,939,870,0,836,0,1,0,0,1101
225,970,844,779,0,2035,0,1,0,0,1325
226,1338,1002,931,0,1789,0,1,0,0,1694
227,5742,1042,971,0,4193,0,1,0,0,6538
228,51,855,786,0,1263,0,1,0,0,243
229,1040,883,813,0,1815,0,1,0,0,1433
230,3223,971,900,0,1312,0,1,0,0,3772
231,4170,829,762,0,1633,0,1,0,0,4422
232,5635,857,788,0,1853,0,1,0,0,6397
233,2190,780,714,0,948,0,1,0,0,2507
234,5796,814,747,0,1121,0,1,0,0,6612
235,6554,925,856,0,3640,0,1,0,0,7158
236,1759,1029,959,0,721,0,1,0,0,2153
237,5875,960,889,0,2391,0,1,0,0,6946
238,2477,317,306,0,1278,0,1,0,0,3012
239,2392,995,924,0,533,0,1,0,0,5353
240,5043,1034,966,0,2424,0,1,0,0,5381
241,2807,836,769,0,3250,0,1,0,0,3239
242,4274,968,897,0,3828,0,1,0,0,4767
243,3588,918,849,0,4468,0,1,0,0,5564
244,1243,569,637,0,4468,0,1,0,0,2347
245,2286,1036,966,0,4468,0,1,0,0,2604
246,5991,800,733,0,4201,0,1,0,0,2934
247,1641,728,667,0,2774,0,1,0,0,4562
248,5094,655,594,0,155,0,1,0,0,5687
249,1101,824,757,0,1682,0,1,0,0,1612
250,4790,582,530,0,788,0,1,0,0,5171
251,4139,51,49,0,2243,0,1,0,0,4603
252,430,716,658,0,3779,0,1,0,0,745
253,5376,697,635,0,4468,0,1,0,0,6216
254,1980,1064,994,0,487,0,1,0,0,2186
255,542,995,924,0,955,0,1,0,0,821
256,303,722,662,0,2700,0,1,0,0,634
257,824,908,843,0,4031,0,1,0,0,1058
258,1485,855,1110,0,557,0,1,0,0,1828
259,185,264,252,0,2562,0,1,0,0,522
260,964,1137,1065,0,2372,0,1,0,0,1225
261,2718,1187,1112,0,434,0,1,0,0,3132
262,3912,1049,980,0,1473,0,1,0,0,4272
