row_id,name,startdate,enddate,location,description,image,performer,page_url
3474,1035,1572,1602,0,4118,1000,0,4176
3475,749,124,125,0,1826,289,0,46
3476,4819,819,840,0,1237,2361,0,3456
3477,2755,820,841,0,2301,2361,0,2065
3478,791,828,849,0,451,1959,0,2092
3479,2826,772,791,0,1151,2361,0,3182
3480,2913,819,840,0,3134,2361,0,2001
3481,2088,30,30,0,3612,1688,0,2388
3482,4136,819,840,0,3270,2361,0,3439
3483,4665,820,841,0,4938,2361,0,5097
3484,3630,819,840,0,2795,2361,0,4918
3485,4174,529,541,0,4235,157,0,2654
3486,18,819,840,0,2455,2361,0,5071
3487,3241,819,840,0,1258,2361,0,3483
3488,496,34,34,0,548,906,0,897
3489,2367,625,641,0,1039,1913,0,1306
3490,2569,820,841,0,2074,2361,0,2069
3491,2760,1447,1489,0,1278,195,0,4102
3492,3776,772,791,0,1421,2361,0,3132
3493,866,1620,1658,0,3435,2304,0,4174
3494,1281,902,925,0,885,2234,0,2117
3495,1780,401,399,0,4690,1993,0,4346
3496,1951,236,236,0,44,253,0,996
3497,507,1642,1683,0,420,193,0,784
3498,3667,608,627,0,3784,2108,0,1236
3499,2955,808,829,0,2691,2361,0,1305
3500,2916,826,848,0,3762,2361,0,5136
3501,48,772,791,0,4642,2361,0,1666
3502,2900,819,840,0,3421,2361,0,1975
3503,1506,1469,1516,0,1445,1903,0,4072
3504,245,276,277,0,362,2051,0,123
3505,977,1014,1037,0,1944,1672,0,2132
3506,36,819,840,0,2782,2361,0,3450
3507,2373,603,617,0,2627,1668,0,1223
3508,1609,402,399,0,4847,1553,0,2695
3509,3404,819,840,0,4729,2361,0,2031
3510,1592,1729,1772,0,3048,1230,0,2313
3511,1420,389,388,0,3024,256,0,1062
3512,2613,772,791,0,1465,2361,0,3220
3513,3299,1207,1250,0,452,1344,0,3928
3514,4707,819,840,0,2576,2361,0,1851
3515,4421,1214,1256,0,454,2065,0,3926
3516,2542,772,791,0,2579,2361,0,1479
3517,3192,819,840,0,3872,2361,0,3658
3518,3434,1207,1250,0,453,332,0,3930
3519,3119,772,791,0,1407,2361,0,1752
3520,542,1250,1352,0,1296,39,0,3943
3521,2551,1787,1835,0,189,419,0,478
3522,2236,1452,1497,0,2953,1017,0,4186
3523,3761,699,720,0,1786,2361,0,2958
3524,1312,1570,1604,0,3183,1638,0,2359
3525,3457,619,633,0,3147,2361,0,1275
3526,2090,819,840,0,3826,2361,0,5062
3527,3272,1450,1496,0,2037,1922,0,866
3528,1573,403,401,0,4894,749,0,1079
3529,968,1439,1478,0,360,81,0,565
3530,2333,819,840,0,193,2361,0,4969
3531,909,1345,1377,0,3524,239,0,642
3532,824,1508,1547,0,3657,13,0,4185
3533,3380,517,531,0,4168,751,0,1107
