row_id,name,startdate,enddate,location,description,eventattendancemode,offers,organizer,performer,page_url
338,14,131,127,0,18,0,0,0,0,537
339,53,93,88,0,24,0,0,0,0,1020
340,20,96,91,0,20,0,0,0,0,1020
341,15,110,103,0,14,0,0,0,0,1020
342,18,120,122,0,88,0,0,0,0,1020
343,18,120,122,0,88,0,0,0,0,1020
344,4,126,123,0,28,0,0,0,0,1020
345,14,131,127,0,18,0,0,0,0,1020
346,53,93,88,0,24,0,0,0,0,1230
347,20,96,91,0,20,0,0,0,0,1230
348,15,110,103,0,14,0,0,0,0,1230
349,18,120,122,0,88,0,0,0,0,1230
350,18,120,122,0,88,0,0,0,0,1230
351,4,126,123,0,28,0,0,0,0,1230
352,14,131,127,0,18,0,0,0,0,1230
353,53,93,88,0,24,0,0,0,0,959
354,20,96,91,0,20,0,0,0,0,959
355,15,110,103,0,14,0,0,0,0,959
356,18,120,122,0,88,0,0,0,0,959
357,18,120,122,0,88,0,0,0,0,959
358,4,126,123,0,28,0,0,0,0,959
359,14,131,127,0,18,0,0,0,0,959
360,53,93,88,0,24,0,0,0,0,506
361,20,96,91,0,20,0,0,0,0,506
362,15,110,103,0,14,0,0,0,0,506
363,18,120,122,0,88,0,0,0,0,506
364,18,120,122,0,88,0,0,0,0,506
365,4,126,123,0,28,0,0,0,0,506
366,14,131,127,0,18,0,0,0,0,506
367,53,93,88,0,24,0,0,0,0,915
368,20,96,91,0,20,0,0,0,0,915
369,15,110,103,0,14,0,0,0,0,915
370,18,120,122,0,88,0,0,0,0,915
371,18,120,122,0,88,0,0,0,0,915
372,4,126,123,0,28,0,0,0,0,915
373,14,131,127,0,18,0,0,0,0,915
374,53,93,88,0,24,0,0,0,0,850
375,20,96,91,0,20,0,0,0,0,850
376,15,110,103,0,14,0,0,0,0,850
377,18,120,122,0,88,0,0,0,0,850
378,18,120,122,0,88,0,0,0,0,850
379,4,126,123,0,28,0,0,0,0,850
380,14,131,127,0,18,0,0,0,0,850
381,16,139,137,0,53,0,0,0,0,299
382,53,93,88,0,24,0,0,0,0,1168
383,20,96,91,0,20,0,0,0,0,1168
384,15,110,103,0,14,0,0,0,0,1168
385,18,120,122,0,88,0,0,0,0,1168
386,4,126,123,0,28,0,0,0,0,1168
387,14,131,127,0,18,0,0,0,0,1168
388,53,93,88,0,24,0,0,0,0,1065
389,20,96,91,0,20,0,0,0,0,1065
390,15,110,103,0,14,0,0,0,0,1065
391,18,120,122,0,88,0,0,0,0,1065
392,18,120,122,0,88,0,0,0,0,1065
393,4,126,123,0,28,0,0,0,0,1065
394,14,131,127,0,18,0,0,0,0,1065
395,10,17,17,0,60,0,0,1,0,453
396,44,154,152,0,92,0,0,1,0,1219
397,80,138,134,0,6,0,0,1,0,1216
398,53,93,88,0,24,0,0,0,0,1117
399,20,96,91,0,20,0,0,0,0,1117
400,15,110,103,0,14,0,0,0,0,1117
401,18,120,122,0,88,0,0,0,0,1117
402,18,120,122,0,88,0,0,0,0,1117
403,4,126,123,0,28,0,0,0,0,1117
404,14,131,127,0,18,0,0,0,0,1117
405,60,27,27,0,58,0,0,0,0,368
406,53,93,88,0,24,0,0,0,0,843
407,20,96,91,0,20,0,0,0,0,843
