row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,url,mainentityofpage,page_url
5963,7635,9508,9905,0,4983,0,0,0,0,0,6176
5964,7600,7364,7664,0,4951,0,0,0,0,0,721
5965,10457,11717,12208,0,4989,0,0,0,0,0,4802
5966,7264,6369,6656,1,3298,0,0,1,0,0,6334
5967,4944,8740,9120,0,4834,0,0,1,0,0,2770
5968,7749,7279,7578,0,1749,0,0,0,0,0,3701
5969,3272,12535,13026,1,1250,0,0,1,0,0,2409
5970,1579,6902,7196,1,778,0,0,0,0,0,15284
5971,1657,2449,2586,0,4620,0,0,1,0,0,15730
5972,3770,3805,4018,0,2378,0,0,1,0,0,17212
5973,4922,7542,7853,1,2153,0,0,1,0,0,8494
5974,294,1751,1806,0,980,0,0,0,0,0,12877
5975,10457,11999,12474,0,4989,0,0,0,0,0,4839
5976,9286,11608,12099,0,5944,0,0,1,0,0,4339
5977,4626,2412,2528,0,5960,0,0,1,0,0,9654
5978,9485,8620,8986,0,3373,0,0,0,0,0,5737
5979,2487,10816,11316,0,5189,0,0,1,0,0,14898
5980,6537,7951,8284,0,1925,0,0,1,0,0,3254
5981,4613,2098,2181,0,5960,0,0,1,0,0,9635
5982,5550,2877,3033,0,4003,0,0,0,0,0,12750
5983,7318,7480,7787,0,4143,0,0,1,0,0,3496
5984,7561,8962,9349,0,2025,0,0,0,0,0,3640
5985,8127,2131,2278,0,77,0,0,0,1,1,14330
5986,7513,11162,11682,0,5544,0,0,0,0,0,3599
5987,4451,5407,5660,0,5960,0,0,1,0,0,9411
5988,1449,9860,10296,0,686,0,0,1,0,0,14754
5989,4847,11758,12245,0,2871,0,0,0,0,0,372
5990,5671,12003,12477,0,4315,0,0,0,0,0,5631
5991,4271,3837,4056,0,5960,0,0,1,0,0,9150
5992,9250,859,863,0,5960,0,0,1,0,0,9945
5993,9559,2977,3137,0,5960,0,0,1,0,0,11949
5994,3522,3090,3253,0,753,0,0,1,0,0,15908
5995,2784,6200,6485,0,5485,0,0,1,0,0,8178
5996,5091,4685,4920,0,5960,0,0,0,0,0,8647
5997,1449,9030,9415,0,5960,0,0,1,0,0,14815
5998,7859,9183,9566,0,5960,0,0,1,0,0,15112
5999,8936,2835,2986,0,5911,0,0,1,0,0,16175
6000,10213,1198,1235,0,5960,0,0,1,0,0,16362
6001,1212,2844,2993,0,2561,0,0,1,0,0,16818
6002,9471,4488,4731,0,1789,0,0,0,0,0,993
6003,1588,7204,7502,1,3138,0,0,0,0,0,1360
6004,5496,8364,8709,0,2789,0,0,0,0,0,2903
6005,9332,11951,12427,0,5030,0,0,0,0,0,947
6006,7666,11708,12195,0,65,0,0,0,1,1,1093
6007,3167,8811,9185,0,3374,0,0,0,0,0,2355
6008,4818,2203,2300,0,5960,0,0,1,0,0,9898
6009,5240,6744,7106,1,1435,0,0,0,0,0,12441
6010,101,157,158,1,3548,0,0,1,0,0,14121
6011,866,12216,12694,0,2855,0,0,1,0,0,16419
6012,6354,4268,4511,1,5960,0,0,1,0,0,10379
6013,8218,9949,10396,1,5960,0,0,0,0,0,11320
6014,8541,2178,2274,1,4071,0,0,0,0,0,17816
6015,3714,8992,9377,0,2070,0,0,0,0,0,2729
6016,3706,8490,8848,0,5268,0,0,0,0,0,2720
6017,2953,7946,8276,0,786,0,0,0,0,0,13825
6018,10456,4555,4798,0,5936,0,0,0,0,0,17461
6019,1364,7210,7509,0,2288,0,0,0,0,0,1821
6020,3829,2163,2262,0,3746,0,0,1,0,0,7135
6021,4588,3439,3618,0,5960,0,0,1,0,0,9596
6022,8515,9550,9951,1,5960,0,0,0,0,0,11439
6023,1356,9432,9831,1,4972,0,0,0,0,0,1774
6024,8023,10490,10968,0,180,0,0,0,1,1,4917
6025,1435,10074,10522,1,5960,0,0,0,0,0,7210
6026,6610,749,751,0,5960,0,0,1,0,0,10464
6027,8799,5669,5936,1,4281,0,0,1,0,0,11637
6028,1449,10231,10689,0,686,0,0,1,0,0,14771
6029,5809,530,523,0,3402,0,0,1,0,0,445
6030,7362,5912,6193,0,3989,0,0,1,0,0,13125
6031,312,1755,1813,0,3940,0,0,0,0,0,13359
6032,7381,6179,6463,0,1969,0,0,0,0,0,17206
6033,486,8637,9002,0,2047,0,0,0,0,0,1254
6034,3298,8292,8630,0,1774,0,0,0,0,0,2429
6035,7777,7247,7549,0,1013,0,0,1,0,0,3709
6036,1546,7353,8025,1,4323,0,0,1,0,0,5189
6037,8390,4306,4551,1,5960,0,0,1,0,0,11407
6038,7513,10723,11216,0,5544,0,0,0,0,0,3560
6039,7513,10738,11234,0,5544,0,0,0,0,0,3563
6040,7639,868,875,0,5960,0,0,1,0,0,11107
6041,10354,974,998,0,5960,0,0,1,0,0,12326
6042,431,11310,11811,0,4824,0,0,1,0,0,1192
6043,6196,1736,1793,0,3939,0,0,0,0,0,12860
6044,1870,1036,1068,0,5960,0,0,1,0,0,7449
6045,4274,3658,3863,0,5960,0,0,1,0,0,9153
6046,9585,5474,5728,1,5515,0,0,1,0,0,11970
6047,6678,12310,12795,0,5922,0,0,0,0,0,3294
6048,5798,11696,12185,0,2840,0,0,0,0,0,433
6049,10397,10648,11134,0,115,0,0,0,1,1,1075
6050,4042,4042,4266,0,5960,0,0,1,0,0,9402
6051,6699,10193,10651,1,5960,0,0,0,0,0,10533
6052,7138,1018,1053,0,5960,0,0,1,0,0,10841
6053,6066,5069,5323,1,5027,0,0,1,0,0,6672
6054,5319,6534,6816,0,5960,0,0,0,0,0,13452
6055,9954,10542,11026,0,4929,0,0,1,0,0,4594
6056,1293,9654,10071,1,5960,0,0,0,0,0,7115
6057,4514,2330,2438,0,5960,0,0,1,0,0,9496
6058,1772,836,843,0,5960,0,0,1,0,0,7416
6059,10245,9962,10409,1,5960,0,0,0,0,0,12289
6060,9644,4662,4899,1,5960,0,0,1,0,0,5230
6061,5237,6580,6864,1,1327,0,0,1,0,0,12438
6062,421,11078,11596,0,4421,0,0,1,0,0,1163
6063,8640,964,984,0,5960,0,0,1,0,0,11514
6064,10225,9374,9761,1,5960,0,0,0,0,0,12263
6065,1006,9622,10032,1,5960,0,0,0,0,0,6960
6066,4089,4165,4390,0,5960,0,0,1,0,0,9910
6067,491,11490,11980,0,1516,0,0,0,0,0,1258
6068,3317,9359,9745,0,5887,0,0,1,0,0,13618
6069,10108,9744,10168,1,5960,0,0,0,0,0,12190
6070,5437,6631,6919,0,4821,0,0,0,0,0,12442
