row_id,name,startdate,location,page_url
10825,3570,3896,0,3278
10826,4135,3584,0,4057
10827,4371,3714,0,4322
10828,8896,4562,0,8926
10829,950,909,0,924
10830,3612,3960,0,3322
10831,4326,6430,0,4262
10832,7590,2559,0,7635
10833,11057,8246,0,11063
10834,12191,12776,0,12116
10835,610,2895,0,586
10836,993,4100,0,974
10837,1330,3796,0,1309
10838,3609,2970,0,3318
10839,9452,8272,0,9410
10840,11326,10887,0,11301
10841,11909,9573,0,11882
10842,1740,4762,0,1765
10843,6722,6174,0,6784
10844,7635,5048,0,7692
10845,8830,3388,0,8711
10846,10660,10407,0,10860
10847,4192,1721,0,4138
10848,7440,7941,0,7448
10849,9512,6713,0,9463
10850,11955,9783,0,12061
10851,12381,8769,0,12334
10852,6806,1317,0,6831
10853,9546,4194,0,9517
10854,3468,9130,0,4478
10855,1360,7359,0,1369
10856,2784,1359,0,2750
10857,3632,5108,0,3327
10858,7860,8405,0,7892
10859,10587,10696,0,10596
10860,2234,440,0,2170
10861,3565,12721,0,3272
10862,3893,2962,0,3725
10863,4222,1094,0,4171
10864,5205,2762,0,5520
10865,7302,7291,0,7225
10866,8024,7028,0,7971
10867,12696,9956,0,12652
10868,314,6995,0,223
10869,6431,10615,0,6428
10870,7479,6493,0,7481
10871,9850,10685,0,12899
10872,2353,846,0,2275
10873,3197,112,0,12760
10874,5894,1431,0,5889
10875,6141,3580,0,6668
10876,9305,8371,0,9302
10877,9196,9557,0,9079
10878,1063,6622,0,1034
10879,4679,10235,0,4808
10880,6823,3898,0,6886
10881,2356,7185,0,2280
10882,5330,1225,0,5260
10883,9079,6662,0,9324
10884,10377,9521,0,10296
10885,8987,9286,0,9126
10886,9688,8349,0,9699
10887,10173,9240,0,10318
10888,1857,4260,0,1902
10889,5663,11237,0,5706
10890,1148,12291,0,1122
10891,332,11862,0,240
10892,1741,12387,0,1775
10893,5359,2543,0,5369
10894,4921,11508,0,4898
10895,3830,1438,0,3682
10896,10756,5210,0,10723
10897,2295,7483,0,2197
10898,8484,3245,0,8432
10899,9450,6200,0,9387
10900,290,4678,0,160
10901,2470,11290,0,2442
10902,8394,4134,0,8349
10903,613,3540,0,577
10904,11083,7625,0,11250
10905,11352,7702,0,11358
10906,5311,2690,0,5273
10907,10201,7153,0,10358
10908,11843,6297,0,11807
10909,872,7055,0,797
10910,3605,9405,0,3302
10911,1339,200,0,12729
10912,7444,7056,0,7418
10913,9416,11228,0,9379
10914,12460,6939,0,12412
10915,5989,2482,0,6008
10916,7982,10710,0,7940
10917,8293,5826,0,8240
10918,114,5675,0,264
10919,1274,12121,0,1237
10920,9079,6645,0,9323
10921,9085,4285,0,9335
10922,4718,11477,0,5105
10923,11354,12035,0,11366
10924,11345,11344,0,11356
10925,1197,1407,0,1136
10926,4979,7022,0,4967
10927,7911,5244,0,8518
10928,3504,5648,0,4544
10929,3,6059,0,1
10930,2277,1209,0,2200
10931,3055,823,0,3068
10932,8436,12827,0,8370
10933,2987,8971,0,2984
10934,425,944,0,403
10935,1116,2648,0,1101
10936,6535,9147,0,6535
10937,2666,3883,0,2652
10938,3423,10536,0,4089
10939,11848,11626,0,11836
10940,3521,6336,0,3211
10941,7253,2710,0,7174
10942,3780,1370,0,3601
10943,7271,7624,0,7164
10944,7137,4147,0,7246
