row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,offers,page_url
294,88,113,103,0,145,0,0,0,0,1119
295,24,89,86,0,69,0,0,0,0,1119
296,79,113,103,0,144,0,0,0,0,1119
297,55,98,91,1,33,0,0,0,0,1119
298,24,88,86,0,69,0,0,0,0,1119
299,65,107,98,1,132,0,0,0,0,1119
300,24,87,86,0,69,0,0,0,0,1119
301,167,114,104,1,152,0,0,0,0,1119
302,107,104,95,0,125,0,0,0,0,1119
303,55,100,91,1,33,0,0,0,0,1119
304,55,97,91,1,33,0,0,0,0,753
305,55,100,91,1,33,0,0,0,0,753
306,3,100,91,0,116,0,0,0,0,753
307,24,88,86,0,69,0,0,0,0,753
308,55,96,91,1,33,0,0,0,0,753
309,24,89,86,0,69,0,0,0,0,753
310,65,107,98,1,132,0,0,0,0,753
311,55,98,91,1,33,0,0,0,0,753
312,118,101,92,1,120,0,0,0,0,753
313,0,92,87,0,122,0,0,0,0,753
314,167,114,104,1,152,0,0,0,0,753
315,107,104,95,0,125,0,0,0,0,753
316,24,87,86,0,69,0,0,0,0,753
317,107,103,95,0,125,0,0,0,0,753
318,88,113,103,0,145,0,0,0,0,753
319,79,113,103,0,144,0,0,0,0,753
320,46,37,37,0,179,0,0,0,0,753
321,55,99,91,1,33,0,0,0,0,753
322,155,93,88,1,143,0,0,0,0,753
323,24,90,86,0,69,0,0,0,0,753
324,24,87,86,0,69,0,0,0,0,430
325,65,107,98,1,132,0,0,0,0,430
326,0,92,87,0,122,0,0,0,0,430
327,3,100,91,0,116,0,0,0,0,430
328,155,93,88,1,143,0,0,0,0,430
329,24,88,86,0,69,0,0,0,0,430
330,79,113,103,0,144,0,0,0,0,430
331,55,97,91,1,33,0,0,0,0,430
332,24,90,86,0,69,0,0,0,0,430
333,55,100,91,1,33,0,0,0,0,430
334,55,98,91,1,33,0,0,0,0,430
335,107,104,95,0,125,0,0,0,0,430
336,107,103,95,0,125,0,0,0,0,430
337,55,96,91,1,33,0,0,0,0,430
338,88,113,103,0,145,0,0,0,0,430
339,55,99,91,1,33,0,0,0,0,430
