row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,organizer,page_url
209,37,65,63,0,35,0,0,0,0,346
210,2,77,74,0,55,0,0,0,0,448
211,2,78,75,0,55,0,0,0,0,448
212,37,65,63,0,35,0,0,0,0,448
213,19,56,54,0,40,0,0,1,1,14
214,2,77,74,0,55,0,0,0,0,1380
215,2,78,75,0,55,0,0,0,0,1380
216,37,65,63,0,35,0,0,0,0,1380
217,2,77,74,0,55,0,0,0,0,395
218,2,78,75,0,55,0,0,0,0,395
219,37,65,63,0,35,0,0,0,0,395
220,2,77,74,0,55,0,0,0,0,588
221,2,78,75,0,55,0,0,0,0,588
222,37,65,63,0,35,0,0,0,0,588
223,2,77,74,0,55,0,0,0,0,861
224,2,78,75,0,55,0,0,0,0,861
225,37,65,63,0,35,0,0,0,0,861
226,2,77,74,0,55,0,0,0,0,410
227,2,78,75,0,55,0,0,0,0,410
228,37,65,63,0,35,0,0,0,0,410
229,2,77,74,0,55,0,0,0,0,835
230,2,78,75,0,55,0,0,0,0,835
231,37,65,63,0,35,0,0,0,0,835
232,2,77,74,0,55,0,0,0,0,1389
233,2,78,75,0,55,0,0,0,0,1389
234,37,65,63,0,35,0,0,0,0,1389
235,2,77,74,0,55,0,0,0,0,1249
236,2,78,75,0,55,0,0,0,0,1249
237,37,65,63,0,35,0,0,0,0,1249
238,2,77,74,0,55,0,0,0,0,186
239,2,78,75,0,55,0,0,0,0,186
240,37,65,63,0,35,0,0,0,0,186
241,2,77,74,0,55,0,0,0,0,808
242,2,78,75,0,55,0,0,0,0,808
243,37,65,63,0,35,0,0,0,0,808
244,2,77,74,0,55,0,0,0,0,1758
245,2,78,75,0,55,0,0,0,0,1758
246,37,65,63,0,35,0,0,0,0,1758
247,2,77,74,0,55,0,0,0,0,805
248,2,78,75,0,55,0,0,0,0,805
249,37,65,63,0,35,0,0,0,0,805
250,2,77,74,0,55,0,0,0,0,1320
251,2,78,75,0,55,0,0,0,0,1320
252,37,65,63,0,35,0,0,0,0,1320
253,2,77,74,0,55,0,0,0,0,610
254,2,78,75,0,55,0,0,0,0,610
255,37,65,63,0,35,0,0,0,0,610
256,2,77,74,0,55,0,0,0,0,974
257,2,78,75,0,55,0,0,0,0,974
258,37,65,63,0,35,0,0,0,0,974
259,2,77,74,0,55,0,0,0,0,1615
260,2,78,75,0,55,0,0,0,0,1615
261,37,65,63,0,35,0,0,0,0,1615
262,2,77,74,0,54,0,0,0,0,131
263,2,78,75,0,54,0,0,0,0,131
264,37,65,63,0,34,0,0,0,0,131
265,2,77,74,0,55,0,0,0,0,258
266,2,78,75,0,55,0,0,0,0,258
267,37,65,63,0,35,0,0,0,0,258
268,2,77,74,0,55,0,0,0,0,1769
269,2,78,75,0,55,0,0,0,0,1769
270,37,65,63,0,35,0,0,0,0,1769
271,2,77,74,0,55,0,0,0,0,1605
