row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,performer,duration,about,aggregaterating,page_url
1559,8086,2333,2716,0,8046,0,0,0,358,15,8046,0,2169
1560,6594,7083,9180,0,9125,0,0,0,2112,41,9125,0,2926
1561,8526,1632,1822,0,12506,0,0,0,8545,47,12506,0,4533
1562,11926,3240,3843,0,6333,0,0,0,6968,34,6333,0,5459
1563,12641,9602,12740,0,12708,0,0,0,3130,71,12708,0,9877
1564,8222,8304,10725,0,10534,0,0,0,7063,50,10534,0,7327
1565,9686,9011,11763,0,3209,0,0,0,7859,28,3209,0,3540
1566,11677,3872,4632,0,8489,0,0,0,4929,25,8489,0,1653
1567,11480,9606,12746,0,4637,0,0,0,7206,37,4637,0,7431
1568,8076,2653,3123,0,12640,0,0,0,5243,23,12640,0,11202
1569,9849,6451,8360,0,749,0,0,0,301,26,749,0,11648
1570,9902,5061,6528,0,8136,0,0,0,3677,11,8136,0,13485
1571,3235,7944,10259,0,7745,0,0,0,933,29,7745,0,6376
1572,7157,3575,4274,0,11611,0,0,0,8938,20,11611,0,6789
1573,1140,6466,8380,0,1357,0,0,0,5338,45,1357,0,7445
1574,4876,6461,8374,0,4072,0,0,0,8660,15,4072,0,13515
1575,4216,67,68,0,6750,0,0,0,6169,46,6750,0,42
1576,76,783,870,0,2925,0,0,0,8011,34,2925,0,161
1577,1708,10016,13484,0,7375,0,0,0,4985,27,7375,0,402
1578,11859,7965,10282,0,7122,0,0,0,3523,50,7122,0,5124
1579,809,4862,6276,0,1236,0,0,0,2966,41,1236,0,11228
1580,6311,1694,1896,0,1434,0,0,0,2861,40,1434,0,12344
1581,5264,5255,6777,0,12823,0,0,0,6086,71,12823,0,12610
1582,7489,9492,12537,0,12391,0,0,0,8340,52,12391,0,10237
1583,12604,656,725,0,7861,0,0,0,4603,39,7861,0,10529
1584,6455,4272,5236,0,7330,0,0,0,7258,22,7330,0,8144
1585,4083,1603,1790,0,3359,0,0,0,2974,16,3359,0,11181
1586,9117,9119,11929,0,5687,0,0,0,10371,47,5687,0,7214
1587,8768,7743,9991,0,11809,0,0,0,2831,95,11809,0,9801
1588,3727,7093,9192,0,11226,0,0,0,526,13,11226,0,6995
1589,9334,4527,5703,0,7889,0,0,0,10518,60,7889,0,8209
1590,11834,4500,5654,0,11532,0,0,0,8852,93,11532,0,5913
1591,9978,4871,6286,0,11663,0,0,0,2933,60,11663,0,6525
1592,9668,9617,12783,0,7968,0,0,0,967,34,7968,0,7702
1593,11938,2490,2917,0,3060,0,0,0,11100,27,3060,0,5526
1594,2255,7171,9301,0,2000,0,0,0,830,28,2000,0,11343
1595,9936,1070,1185,0,522,0,0,0,10887,82,522,0,11859
1596,7917,6500,8423,0,5624,0,0,0,7090,19,5624,0,4936
1597,9024,9136,11951,0,8566,0,0,0,3143,52,8566,0,10298
1598,11905,3652,4373,0,1785,0,0,0,1586,25,1785,0,7521
1599,6924,9804,13188,0,7715,0,0,0,1103,52,7715,0,11874
1600,6863,1305,1443,0,2793,0,0,0,804,11,2793,0,13591
1601,2578,4665,5976,0,5513,0,0,0,2849,28,5513,0,4845
1602,11968,4266,5226,0,2702,0,0,0,5320,52,2702,0,5544
1603,379,3303,3920,0,579,0,0,0,1813,19,579,0,5710
1604,3736,7705,9937,0,7621,0,0,0,9610,15,7621,0,7006
1605,11647,8181,10580,0,5114,0,0,0,5740,43,5114,0,10643
1606,4313,745,829,0,9847,0,0,0,8780,54,9847,0,11803
1607,10117,1030,1140,0,6680,0,0,0,9983,69,6680,0,13157
1608,4989,280,307,0,4177,0,0,0,11182,22,4177,0,12879
1609,10602,110,114,0,10500,0,0,0,4820,37,10500,0,728
1610,8050,2660,3133,0,8266,0,0,0,2628,29,8266,0,13702
1611,1804,784,871,0,3368,0,0,0,1260,15,3368,0,719
1612,8924,1301,1437,0,4995,0,0,0,11250,14,4995,0,1768
1613,10233,8240,10650,0,3901,0,0,0,1855,50,3901,0,7456
1614,9451,3500,4168,0,12003,0,0,0,10405,19,12003,0,3966
1615,888,6961,9020,0,4888,0,0,0,4524,81,4888,0,6020
1616,7153,2876,3409,0,8748,0,0,0,2322,40,8748,0,10916
1617,3181,9315,12237,0,37,0,0,0,4293,79,37,0,6240
1618,12366,7790,10054,0,5094,0,0,0,11355,58,5094,0,8868
1619,3690,7567,9775,0,1125,0,0,0,8847,93,1125,0,834
1620,1176,4818,6207,0,9153,0,0,0,3645,71,9153,0,11960
1621,1580,9769,13108,0,9397,0,0,0,2595,115,9397,0,1475
