row_id,name,startdate,enddate,description,offers,page_url
415,1043,275,266,2100,1,2689
416,1132,396,365,3748,0,1565
417,321,464,427,854,0,854
418,747,450,420,2224,0,1128
419,618,382,357,3993,0,4683
420,73,483,446,370,0,58
421,953,638,577,1554,1,947
422,1004,214,211,2400,0,2559
423,59,458,419,262,0,3345
424,1056,458,427,4850,0,3763
425,1102,474,446,4614,1,4066
426,138,368,348,2821,1,4358
427,1293,499,468,4829,0,3735
428,294,211,203,1803,0,1051
429,419,494,456,1469,1,553
430,1263,68,69,619,0,3644
431,1260,92,95,3362,0,2069
432,556,192,190,3655,0,2747
433,1184,560,508,373,0,1311
434,1077,332,318,2405,1,2571
435,88,320,309,448,1,2375
436,20,414,384,1840,1,2875
437,763,170,229,4649,0,3733
438,1127,432,398,3287,0,1672
439,298,409,376,2774,1,4391
440,415,498,460,1870,0,2634
441,914,499,456,2864,0,4215
442,960,458,420,2927,1,2557
443,656,150,151,1865,0,2770
444,0,429,398,2,0,412
445,875,210,206,4776,0,3796
446,13,458,429,2956,0,614
447,1097,284,270,2680,0,867
448,521,240,233,71,0,4790
449,317,311,302,2312,0,2354
450,848,209,206,3570,0,536
451,169,89,92,541,1,1017
452,286,317,351,1300,1,77
453,451,511,474,165,1,2690
454,1050,453,427,3215,0,700
455,1099,378,357,3230,0,1599
456,942,243,305,287,1,1469
457,32,577,525,2893,1,4319
458,560,115,120,1700,1,1915
459,576,470,433,106,0,1919
460,1291,372,353,4349,1,3334
461,196,339,323,4603,0,3889
462,643,471,432,4788,0,3964
463,755,491,450,2427,1,2488
464,295,610,551,787,0,87
465,1072,332,319,2926,1,281
466,441,440,409,3419,0,526
467,309,461,427,2292,1,2417
468,1116,279,488,3190,0,1428
469,13,458,429,2956,0,3851
470,642,476,438,4076,1,4994
471,1081,294,281,3763,0,2022
472,579,137,141,1871,0,3004
473,1298,224,351,1425,1,2361
474,174,497,459,356,1,2919
475,607,161,267,1773,0,3522
476,1135,406,376,4779,1,4113
477,1176,405,373,3784,0,1593
478,227,591,535,950,0,180
479,584,518,474,4711,0,3787
480,1192,260,248,1358,0,4630
481,154,502,467,1416,1,4359
482,1291,372,353,1208,1,983
483,517,198,306,1323,0,2431
484,187,485,446,3385,0,1482
485,824,624,568,431,0,724
486,1229,312,300,3254,1,781
487,307,225,225,4128,0,4910
488,424,496,464,4842,0,3728
489,803,193,193,3532,1,580
490,86,636,577,447,1,1700
491,651,205,204,2948,1,3238
492,961,483,442,2286,1,1276
493,461,412,381,3344,1,1651
494,830,473,439,3358,0,1964
495,376,174,216,1340,0,3268
496,1160,106,110,2886,0,4307
497,982,240,231,3504,0,2049
498,228,484,447,4863,1,3699
499,1141,466,429,3538,0,1635
500,907,472,433,576,0,1989
501,40,426,395,3077,0,2003
502,1202,162,163,4374,0,3337
503,71,460,426,2976,1,1724
504,215,331,314,474,0,2326
505,1,362,340,138,1,2560
506,277,393,363,2748,0,4151
507,22,495,457,982,1,296
508,610,222,217,2252,1,801
509,542,445,414,3440,1,1908
510,990,295,282,113,0,4270
511,1023,98,102,43,0,851
512,513,161,267,135,0,3779
513,1055,456,419,4878,0,4109
514,754,305,293,3025,1,4539
515,640,279,300,1743,1,1931
516,182,596,540,2300,0,2322
517,138,368,348,3495,1,1411
518,60,492,451,484,1,1776
519,339,601,543,1079,0,496
520,674,50,49,3855,1,2148
521,1126,492,457,3255,0,1753
522,445,238,232,1538,1,1872
523,1284,488,446,3843,0,2075
524,429,113,118,3222,0,504
525,744,311,297,3865,0,592
526,475,432,458,1159,0,931
527,912,584,560,3776,0,1457
528,494,376,353,1410,0,2384
529,816,505,462,4404,0,3649
530,51,464,426,4078,1,4702
531,1075,543,497,3525,1,1625
532,391,469,433,3418,1,1876
533,105,453,415,480,0,2302
534,973,312,300,2022,1,424
535,944,107,111,2804,0,4449
536,1134,533,487,3289,0,2038
537,307,225,225,1926,0,2897
538,1153,377,352,826,0,4627
539,451,511,474,166,1,2152
540,297,347,327,3571,1,249
541,974,453,420,99,0,1391
542,1061,141,144,3199,0,5114
543,953,638,577,4724,1,3802
544,601,484,466,4542,0,3202
545,222,492,457,4846,0,3704
546,192,499,463,3069,1,1029
547,1135,406,376,4285,1,3618
548,148,498,457,1629,0,76
549,792,562,514,4439,1,3167
