row_id,name,startdate,enddate,location,description,eventstatus,offers,performer,doortime,page_url
302,1594,1921,1921,0,596,0,0,0,1921,38
303,808,1998,1998,0,30,0,0,0,1998,38
304,1603,427,427,0,596,0,0,0,427,38
305,1592,2218,2218,0,596,0,0,0,2218,38
306,806,2295,2295,0,30,0,0,0,2295,38
307,1590,2518,2518,0,596,0,0,0,2518,38
308,803,2593,2593,0,30,0,0,0,2593,38
309,818,504,504,0,30,0,0,0,504,38
310,1589,2814,2814,0,596,0,0,0,2814,38
311,801,2888,2888,0,30,0,0,0,2888,38
312,1587,3101,3101,0,596,0,0,0,3101,38
313,799,3174,3174,0,30,0,0,0,3174,38
314,1585,3395,3395,0,596,0,0,0,3395,38
315,797,3468,3468,0,30,0,0,0,3468,38
316,1583,3686,3686,0,596,0,0,0,3686,38
317,795,3759,3759,0,30,0,0,0,3759,38
318,1581,3980,3980,0,596,0,0,0,3980,38
319,793,4055,4055,0,30,0,0,0,4055,38
320,1579,4272,4272,0,596,0,0,0,4272,38
321,791,4347,4347,0,30,0,0,0,4347,38
322,1577,4568,4568,0,596,0,0,0,4568,38
323,789,4642,4642,0,30,0,0,0,4642,38
324,1576,4862,4862,0,596,0,0,0,4862,38
325,787,4935,4935,0,30,0,0,0,4935,38
326,1601,732,732,0,596,0,0,0,732,38
327,1574,5154,5154,0,596,0,0,0,5154,38
328,785,5227,5227,0,30,0,0,0,5227,38
329,1572,5451,5451,0,596,0,0,0,5451,38
330,783,5526,5526,0,30,0,0,0,5526,38
331,816,807,807,0,30,0,0,0,807,38
332,1570,5748,5748,0,596,0,0,0,5748,38
333,781,5822,5822,0,30,0,0,0,5822,38
334,1568,6045,6045,0,596,0,0,0,6045,38
335,779,6118,6118,0,30,0,0,0,6118,38
336,1566,6333,6333,0,596,0,0,0,6333,38
337,777,6405,6405,0,30,0,0,0,6405,38
338,1564,6626,6626,0,596,0,0,0,6626,38
339,775,6700,6700,0,30,0,0,0,6700,38
340,1562,6920,6920,0,596,0,0,0,6920,38
341,773,6993,6993,0,30,0,0,0,6993,38
342,1560,7213,7213,0,596,0,0,0,7213,38
343,771,7287,7287,0,30,0,0,0,7287,38
344,1559,7508,7508,0,596,0,0,0,7508,38
345,769,7579,7579,0,30,0,0,0,7579,38
346,1557,7801,7801,0,596,0,0,0,7801,38
347,767,7875,7875,0,30,0,0,0,7875,38
348,1600,1031,1031,0,596,0,0,0,1031,38
349,1555,8091,8091,0,596,0,0,0,8091,38
350,765,8160,8160,0,30,0,0,0,8160,38
351,1553,8381,8381,0,596,0,0,0,8381,38
352,763,8453,8453,0,30,0,0,0,8453,38
353,814,1104,1104,0,30,0,0,0,1104,38
354,1551,8669,8669,0,596,0,0,0,8669,38
355,761,8742,8742,0,30,0,0,0,8742,38
356,1549,8963,8963,0,596,0,0,0,8963,38
357,759,9034,9034,0,30,0,0,0,9034,38
358,1598,1329,1329,0,596,0,0,0,1329,38
359,812,1404,1404,0,30,0,0,0,1404,38
360,1580,1607,1607,0,639,0,0,0,1607,79
361,800,1689,1689,0,73,0,0,0,1689,79
362,1578,1905,1905,0,639,0,0,0,1905,79
363,797,1987,1987,0,73,0,0,0,1987,79
364,1588,412,412,0,639,0,0,0,412,79
365,1576,2202,2202,0,639,0,0,0,2202,79
366,795,2284,2284,0,73,0,0,0,2284,79
367,1574,2502,2502,0,639,0,0,0,2502,79
368,793,2583,2583,0,73,0,0,0,2583,79
369,809,495,495,0,73,0,0,0,495,79
370,1571,2796,2796,0,639,0,0,0,2796,79
371,790,2877,2877,0,73,0,0,0,2877,79
372,1569,3083,3083,0,639,0,0,0,3083,79
373,788,3163,3163,0,73,0,0,0,3163,79
374,1567,3377,3377,0,639,0,0,0,3377,79
375,786,3457,3457,0,73,0,0,0,3457,79
376,1565,3668,3668,0,639,0,0,0,3668,79
377,783,3747,3747,0,73,0,0,0,3747,79
378,1563,3962,3962,0,639,0,0,0,3962,79
379,781,4043,4043,0,73,0,0,0,4043,79
380,1561,4254,4254,0,639,0,0,0,4254,79
381,779,4335,4335,0,73,0,0,0,4335,79
382,1559,4550,4550,0,639,0,0,0,4550,79
383,776,4629,4629,0,73,0,0,0,4629,79
384,1557,4843,4843,0,639,0,0,0,4843,79
385,774,4922,4922,0,73,0,0,0,4922,79
386,1586,717,717,0,639,0,0,0,717,79
387,1555,5135,5135,0,639,0,0,0,5135,79
388,772,5214,5214,0,73,0,0,0,5214,79
389,1553,5432,5432,0,639,0,0,0,5432,79
390,769,5512,5512,0,73,0,0,0,5512,79
391,807,798,798,0,73,0,0,0,798,79
392,1551,5729,5729,0,639,0,0,0,5729,79
393,767,5808,5808,0,73,0,0,0,5808,79
394,1549,6026,6026,0,639,0,0,0,6026,79
395,765,6105,6105,0,73,0,0,0,6105,79
396,1547,6314,6314,0,639,0,0,0,6314,79
397,763,6391,6391,0,73,0,0,0,6391,79
398,1545,6607,6607,0,639,0,0,0,6607,79
399,760,6685,6685,0,73,0,0,0,6685,79
400,1543,6901,6901,0,639,0,0,0,6901,79
401,758,6978,6978,0,73,0,0,0,6978,79
402,1540,7193,7193,0,639,0,0,0,7193,79
403,756,7272,7272,0,73,0,0,0,7272,79
404,1538,7487,7487,0,639,0,0,0,7487,79
405,754,7565,7565,0,73,0,0,0,7565,79
406,1536,7780,7780,0,639,0,0,0,7780,79
407,752,7860,7860,0,73,0,0,0,7860,79
408,1584,1015,1015,0,639,0,0,0,1015,79
409,1534,8070,8070,0,639,0,0,0,8070,79
410,750,8145,8145,0,73,0,0,0,8145,79
411,1532,8360,8360,0,639,0,0,0,8360,79
412,747,8437,8437,0,73,0,0,0,8437,79
413,804,1094,1094,0,73,0,0,0,1094,79
414,1530,8648,8648,0,639,0,0,0,8648,79
415,745,8726,8726,0,73,0,0,0,8726,79
416,1528,8942,8942,0,639,0,0,0,8942,79
417,743,9018,9018,0,73,0,0,0,9018,79
418,1582,1313,1313,0,639,0,0,0,1313,79
419,802,1394,1394,0,73,0,0,0,1394,79
420,1462,1554,1554,0,863,0,0,0,1554,306
421,650,1571,1571,0,297,0,0,0,1571,306
422,1462,1850,1850,0,863,0,0,0,1850,306
423,650,1869,1869,0,297,0,0,0,1869,306
424,1462,354,354,0,863,0,0,0,354,306
425,1461,2147,2147,0,863,0,0,0,2147,306
426,650,2165,2165,0,297,0,0,0,2165,306
427,1461,2448,2448,0,863,0,0,0,2448,306
428,649,2466,2466,0,297,0,0,0,2466,306
429,650,370,370,0,297,0,0,0,370,306
430,1461,2744,2744,0,863,0,0,0,2744,306
431,649,2762,2762,0,297,0,0,0,2762,306
432,1461,3037,3037,0,863,0,0,0,3037,306
433,649,3054,3054,0,297,0,0,0,3054,306
434,1461,3330,3330,0,863,0,0,0,3330,306
435,649,3350,3350,0,297,0,0,0,3350,306
436,1461,3621,3621,0,863,0,0,0,3621,306
437,649,3641,3641,0,297,0,0,0,3641,306
438,1461,3910,3910,0,863,0,0,0,3910,306
439,649,3931,3931,0,297,0,0,0,3931,306
440,1461,4206,4206,0,863,0,0,0,4206,306
441,649,4224,4224,0,297,0,0,0,4224,306
442,1461,4501,4501,0,863,0,0,0,4501,306
443,649,4520,4520,0,297,0,0,0,4520,306
444,1461,4797,4797,0,863,0,0,0,4797,306
445,649,4816,4816,0,297,0,0,0,4816,306
446,1462,662,662,0,863,0,0,0,662,306
447,1461,5088,5088,0,863,0,0,0,5088,306
448,649,5109,5109,0,297,0,0,0,5109,306
449,1461,5382,5382,0,863,0,0,0,5382,306
450,649,5406,5406,0,297,0,0,0,5406,306
451,650,678,678,0,297,0,0,0,678,306
452,1461,5687,5687,0,863,0,0,0,5687,306
453,649,5707,5707,0,297,0,0,0,5707,306
454,1461,5980,5980,0,863,0,0,0,5980,306
455,649,6003,6003,0,297,0,0,0,6003,306
456,1461,6270,6270,0,863,0,0,0,6270,306
457,649,6290,6290,0,297,0,0,0,6290,306
458,1461,6563,6563,0,863,0,0,0,6563,306
459,649,6585,6585,0,297,0,0,0,6585,306
460,1461,6860,6860,0,863,0,0,0,6860,306
461,649,6882,6882,0,297,0,0,0,6882,306
462,1461,7153,7153,0,863,0,0,0,7153,306
463,649,7175,7175,0,297,0,0,0,7175,306
464,1461,7450,7450,0,863,0,0,0,7450,306
465,649,7472,7472,0,297,0,0,0,7472,306
466,1461,7740,7740,0,863,0,0,0,7740,306
467,649,7766,7766,0,297,0,0,0,7766,306
468,1462,961,961,0,863,0,0,0,961,306
469,1461,8031,8031,0,863,0,0,0,8031,306
470,649,8057,8057,0,297,0,0,0,8057,306
471,1461,8322,8322,0,863,0,0,0,8322,306
472,649,8349,8349,0,297,0,0,0,8349,306
473,650,978,978,0,297,0,0,0,978,306
474,1461,8610,8610,0,863,0,0,0,8610,306
475,649,8638,8638,0,297,0,0,0,8638,306
476,1461,8904,8904,0,863,0,0,0,8904,306
477,649,8934,8934,0,297,0,0,0,8934,306
478,1462,1258,1258,0,863,0,0,0,1258,306
479,650,1275,1275,0,297,0,0,0,1275,306
480,1598,1625,1625,0,974,0,0,0,1625,418
481,824,1713,1713,0,408,0,0,0,1713,418
482,1596,1923,1923,0,974,0,0,0,1923,418
483,821,2011,2011,0,408,0,0,0,2011,418
484,1606,430,430,0,974,0,0,0,430,418
485,1593,2219,2219,0,974,0,0,0,2219,418
486,818,2307,2307,0,408,0,0,0,2307,418
487,1591,2519,2519,0,974,0,0,0,2519,418
488,816,2606,2606,0,408,0,0,0,2606,418
489,834,520,520,0,408,0,0,0,520,418
490,1589,2814,2814,0,974,0,0,0,2814,418
491,813,2900,2900,0,408,0,0,0,2900,418
492,1587,3101,3101,0,974,0,0,0,3101,418
493,811,3186,3186,0,408,0,0,0,3186,418
494,1585,3395,3395,0,974,0,0,0,3395,418
495,808,3479,3479,0,408,0,0,0,3479,418
496,1582,3685,3685,0,974,0,0,0,3685,418
497,806,3770,3770,0,408,0,0,0,3770,418
498,1580,3979,3979,0,974,0,0,0,3979,418
499,803,4065,4065,0,408,0,0,0,4065,418
500,1578,4271,4271,0,974,0,0,0,4271,418
501,800,4356,4356,0,408,0,0,0,4356,418
502,1576,4567,4567,0,974,0,0,0,4567,418
503,798,4651,4651,0,408,0,0,0,4651,418
504,1573,4859,4859,0,974,0,0,0,4859,418
505,795,4943,4943,0,408,0,0,0,4943,418
506,1604,735,735,0,974,0,0,0,735,418
507,1571,5151,5151,0,974,0,0,0,5151,418
508,793,5235,5235,0,408,0,0,0,5235,418
509,1569,5448,5448,0,974,0,0,0,5448,418
510,791,5534,5534,0,408,0,0,0,5534,418
511,831,822,822,0,408,0,0,0,822,418
512,1567,5745,5745,0,974,0,0,0,5745,418
513,788,5829,5829,0,408,0,0,0,5829,418
514,1565,6042,6042,0,974,0,0,0,6042,418
515,786,6125,6125,0,408,0,0,0,6125,418
516,1562,6329,6329,0,974,0,0,0,6329,418
517,783,6411,6411,0,408,0,0,0,6411,418
518,1560,6622,6622,0,974,0,0,0,6622,418
519,781,6706,6706,0,408,0,0,0,6706,418
520,1558,6916,6916,0,974,0,0,0,6916,418
521,778,6998,6998,0,408,0,0,0,6998,418
522,1556,7209,7209,0,974,0,0,0,7209,418
523,776,7292,7292,0,408,0,0,0,7292,418
524,1553,7502,7502,0,974,0,0,0,7502,418
525,774,7584,7584,0,408,0,0,0,7584,418
526,1551,7795,7795,0,974,0,0,0,7795,418
527,771,7879,7879,0,408,0,0,0,7879,418
528,1602,1033,1033,0,974,0,0,0,1033,418
529,1549,8085,8085,0,974,0,0,0,8085,418
530,769,8164,8164,0,408,0,0,0,8164,418
531,1547,8375,8375,0,974,0,0,0,8375,418
532,766,8456,8456,0,408,0,0,0,8456,418
533,829,1119,1119,0,408,0,0,0,1119,418
534,1544,8662,8662,0,974,0,0,0,8662,418
535,764,8745,8745,0,408,0,0,0,8745,418
