row_id,name,startdate,location,description,offers,page_url
229,4424,560,11,4683,1,827
230,1043,1424,0,3951,0,4444
231,2500,2009,11,2574,1,493
232,1032,196,0,927,1,5590
233,2383,597,0,3516,1,3007
234,3529,1180,0,5147,0,4662
235,2694,877,0,4094,1,4400
236,4489,897,0,253,0,1719
237,2007,482,0,4732,0,3698
238,1284,842,0,4045,0,4550
239,3361,1317,0,2,1,3155
240,3374,2040,11,443,1,989
241,3226,1976,0,1935,0,2322
242,3487,1048,0,5518,0,2884
243,3934,1954,11,2498,1,681
244,4915,1275,0,1173,0,4519
245,4475,628,0,4030,0,4795
246,2482,1899,11,613,1,599
247,2693,874,0,5676,0,1258
248,645,194,0,464,0,1527
249,2689,889,0,5889,0,4017
250,3514,905,11,3689,1,838
251,921,699,0,1000,0,1547
252,1315,329,0,4155,0,2198
253,3822,574,0,4035,0,3923
254,3956,1345,0,2293,1,3350
255,3055,1085,0,4759,0,3641
256,1404,1086,0,4776,0,4713
257,398,1059,0,1786,0,5767
258,2547,1609,0,4262,0,4704
259,4727,1302,0,2628,0,4149
260,601,229,0,3907,0,3101
261,4953,1612,0,2827,0,1253
262,172,1007,0,3588,0,2726
263,629,1149,0,4823,0,4558
264,840,355,0,2083,0,2059
265,2517,2030,0,6016,1,3205
266,4789,932,0,2664,0,5362
267,3059,611,0,610,0,3827
268,2579,274,11,808,1,6187
269,1342,2028,11,1774,1,552
270,684,73,0,3601,0,2580
271,3603,1962,0,1682,0,3844
272,2026,1465,0,2896,0,5133
273,4155,2207,11,1509,1,757
274,3773,2009,11,2772,1,757
275,3008,1945,11,4199,1,757
276,2578,1901,11,1424,1,757
277,723,1995,0,1933,0,2466
278,4008,1810,0,832,0,3965
279,2424,1966,0,4022,0,4009
280,2519,1606,0,81,1,3322
281,3618,597,0,5757,0,6127
282,4457,1980,11,1499,1,180
283,4592,1588,0,2959,0,4399
284,529,1491,11,1474,1,577
285,992,113,0,2495,0,2289
286,613,390,0,4679,1,3142
287,3682,1699,0,1286,0,3662
288,133,627,0,3299,0,2677
289,1030,1591,0,4240,1,2722
290,613,363,0,2659,1,3178
291,98,1971,11,3414,1,274
292,1628,1971,11,3697,1,274
293,3484,1911,11,1364,1,274
294,1021,1878,11,5673,1,274
295,3486,1158,11,3828,1,274
296,160,783,11,3930,1,274
297,1853,560,11,422,1,274
298,350,1324,0,6061,0,6096
299,874,254,0,2829,0,1621
300,1285,1244,11,5578,1,302
301,1394,56,11,2603,1,313
302,2282,1928,11,353,1,716
303,3956,1605,0,2291,0,3346
304,712,1093,0,300,0,2771
305,3397,1301,0,5153,0,3602
306,344,511,0,2493,0,5828
307,3017,1726,0,4955,0,3900
308,966,1862,0,5074,0,1535
309,1459,1886,11,3977,1,782
310,1454,1856,11,3977,1,782
311,2204,1715,11,198,1,782
312,3086,998,0,5146,0,3772
313,4254,292,0,315,0,6113
314,1450,853,0,2917,0,4551
315,3862,1261,0,1313,0,4815
316,1878,460,0,2543,0,6126
317,803,2033,11,5552,1,953
318,1978,1935,11,5463,1,953
319,104,1934,11,2702,1,953
320,3775,1839,11,5270,1,953
321,1673,1793,0,4999,0,2082
322,1084,2024,11,2863,1,202
323,3380,439,0,1448,0,4845
324,4749,992,0,5981,0,5428
325,1695,1053,0,3374,1,3458
326,1580,1464,0,3735,0,4223
327,3234,1485,0,5070,0,1071
328,1844,25,0,219,0,5768
329,761,864,0,1630,0,1310
