row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,aggregaterating,page_url
7709,4960,1366,1330,0,148,1,2,0,1,1431
7710,7438,1425,1388,0,1826,1,2,0,0,8500
7711,6041,1114,1075,0,4447,1,2,0,0,7711
7712,7525,1012,975,0,2551,1,2,0,1,1267
7713,3092,1025,989,0,5296,1,2,0,1,2803
7714,4264,1009,979,0,3573,1,2,0,0,4681
7715,7221,1097,1064,0,2488,1,2,0,1,4647
7716,2123,1124,1087,0,5296,1,2,0,0,8558
7717,3710,967,936,0,5296,1,2,0,1,4728
7718,4455,1204,1169,0,1544,0,2,0,0,6677
7719,3859,1219,1188,0,1431,1,2,0,0,6472
7720,8373,1147,1118,0,4373,1,2,0,0,7365
7721,3365,1124,1085,0,5296,1,2,0,1,6188
7722,6552,1017,985,0,5296,1,2,0,1,8012
7723,7985,1225,1197,0,4731,1,2,0,1,3142
7724,2885,1320,1286,0,5296,1,2,0,1,5885
7725,1748,1225,1197,0,5296,1,2,0,0,5687
7726,6773,1263,1231,0,2353,1,2,0,1,8138
7727,533,1343,1309,0,2767,1,2,0,0,170
7728,3733,1147,1112,0,1746,1,2,0,1,1685
7729,8573,262,256,0,4367,1,2,0,0,9182
7730,4263,1263,1230,0,1278,1,2,0,0,6514
7731,7816,1219,1186,0,5296,1,2,0,1,3544
7732,1746,990,953,0,5296,1,2,0,1,3636
7733,2647,1023,989,0,5296,1,2,0,1,4738
7734,2564,1224,1189,0,3150,1,2,0,0,5723
7735,2494,1358,1323,0,5296,1,2,0,1,3215
7736,7786,1301,1266,0,4307,1,2,0,0,5998
7737,3126,1208,1178,0,5296,1,2,0,0,6064
7738,1902,1069,1034,0,4879,1,2,0,0,912
7739,1599,1441,1405,0,1055,1,2,0,0,901
7740,4224,1060,1032,0,5296,1,2,0,1,1240
7741,7319,1091,1056,0,2877,1,2,0,1,3241
7742,7455,1196,1162,0,2542,1,2,0,1,8510
7743,85,975,939,0,5296,1,2,0,1,5438
7744,3221,1250,1215,0,3289,1,2,0,0,8269
7745,7305,1245,1209,0,5296,1,2,0,1,3931
7746,1320,1120,1082,0,5296,1,2,0,1,571
7747,4366,1099,1064,0,3600,1,2,0,0,7410
7748,5196,1217,1182,0,5296,1,2,0,1,7491
7749,2511,711,685,0,894,1,0,0,1,2068
7750,4835,1020,984,1,5296,2,2,0,1,3373
7751,5069,1323,1288,0,5296,1,2,0,1,7234
7752,394,1071,1037,0,5296,1,2,0,0,1311
7753,4863,1048,1012,0,5296,1,2,0,1,3762
7754,6028,1222,1188,0,2320,1,2,0,0,7626
7755,4572,1239,1207,0,5296,1,2,0,0,1023
7756,1912,976,937,1,707,2,2,0,1,2258
7757,24,1527,1491,0,1652,1,2,0,0,7
7758,1781,1004,965,0,5296,1,2,0,1,8780
7759,2164,1054,1017,0,5296,1,2,0,1,2583
7760,1365,1183,1151,0,4723,1,2,0,0,3968
7761,4301,1226,1195,0,3696,1,2,0,1,6334
7762,5610,599,580,0,1998,1,2,0,1,7560
7763,5699,1153,1119,0,5296,1,2,0,1,4628
7764,4814,1340,1306,0,4608,1,2,0,0,7079
7765,7962,1091,1055,0,4386,1,2,0,0,9119
7766,7049,1063,1031,0,2578,1,2,0,1,3442
7767,1894,1086,1053,0,4785,1,2,0,0,902
7768,4436,1458,1424,0,4471,1,2,0,0,957
7769,3453,1191,1160,0,3353,1,2,0,1,5417
7770,6664,1366,1332,0,2309,1,2,0,0,8107
7771,3758,1114,1078,0,5098,1,2,0,1,1753
7772,3740,1122,1085,0,3442,1,2,0,1,4134
7773,7921,916,882,0,4101,1,2,0,0,8140
7774,6111,226,219,0,3971,1,2,0,1,7830
7775,4018,1045,1012,0,19,1,2,0,1,5190
7776,8670,998,959,0,5296,1,2,0,1,2450
7777,7614,1192,1169,0,4547,1,2,0,1,2347
7778,5283,1023,987,0,5296,1,2,0,1,3758
7779,2144,1192,1178,1,1180,2,2,0,0,4348
7780,4361,1205,1171,0,5175,1,2,0,1,6587
7781,3204,1016,980,0,5296,1,2,0,1,3082
7782,5934,1183,1148,0,5296,1,2,0,1,3204
7783,4007,1151,1116,0,3495,1,2,0,0,6354
7784,4371,305,297,0,1532,1,2,0,1,7464
7785,2855,1039,1005,0,5296,1,2,0,0,9081
7786,518,1140,1106,0,2765,1,2,0,0,161
