row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,offers,page_url
98,215,4369,4210,0,404,0,0,0,1299
99,4743,3107,2951,0,989,0,0,0,153
100,5343,1796,1640,0,1943,0,0,0,4516
101,518,1933,1778,0,2028,0,0,0,4514
102,3365,318,247,0,2824,0,0,0,2873
103,2196,4957,4814,0,4435,0,0,0,1859
104,170,1520,1388,0,3435,0,0,0,3609
105,4968,4425,4266,0,1438,0,0,0,5228
106,686,2703,2566,0,4525,0,0,0,5384
107,4845,2724,2995,0,5215,0,0,0,3678
108,2134,3078,5119,0,900,0,0,0,436
109,2208,576,489,0,344,0,0,0,2967
110,1924,408,330,0,339,0,0,0,2803
111,162,2610,2461,0,384,0,0,0,3848
112,531,3918,3747,0,3939,0,0,0,5409
113,4251,4748,4592,0,5267,0,0,0,1770
114,1195,2869,2755,0,980,0,0,0,127
115,4061,562,476,0,6,0,0,0,2965
116,3449,3075,2925,0,3174,0,0,0,513
117,545,4713,4558,0,3976,0,0,0,1423
118,3445,552,469,0,4500,0,0,0,3015
119,605,577,490,0,851,0,0,0,3056
120,1484,1245,1133,0,2663,0,0,0,3763
121,2239,2931,2806,0,1869,0,0,0,5184
122,5339,2593,2704,0,2263,0,0,0,5305
123,3533,1240,1125,0,1151,0,0,0,3810
124,5278,2952,2819,0,4844,0,0,0,5178
125,73,602,525,0,3043,0,0,0,2757
126,324,3123,2966,0,4203,0,0,0,179
127,1471,2286,2141,0,3088,0,0,0,4954
128,2063,2618,2471,0,2372,0,0,0,5293
129,5106,4241,4088,0,3102,0,0,0,1786
130,3227,4365,4204,0,1897,0,0,0,1541
131,4757,3740,3590,0,4277,0,0,0,800
132,1617,1365,1281,0,780,0,0,0,3111
133,151,2681,2538,0,2885,0,0,0,4997
134,4367,5114,5063,0,4725,0,0,0,2250
135,5441,3445,3272,0,3615,0,0,0,978
136,3793,4663,4509,0,3142,0,0,0,2060
137,5367,1878,1724,0,3580,0,0,0,4388
138,4601,3005,4915,0,3829,0,0,0,5386
139,3352,3449,3277,0,4402,0,0,0,816
140,4937,939,854,0,2947,0,0,0,3418
141,2320,636,558,0,936,0,0,0,3119
142,1608,1369,1244,0,1658,0,0,0,3946
143,292,3194,3030,0,601,0,0,0,151
144,4281,3831,3661,0,3308,0,0,0,1258
145,1700,3190,3027,0,561,0,0,0,250
146,4253,295,227,0,2651,0,0,0,2731
147,729,2937,2809,0,733,0,0,0,5420
148,777,371,297,0,3963,0,0,0,2779
149,1334,1211,1099,0,3254,0,0,0,3087
150,2367,2300,2191,0,2984,0,0,0,3202
151,3659,1454,1323,0,3311,1,0,0,5635
152,2400,2776,2646,0,2075,1,0,0,3473
153,2421,1499,1367,0,1424,0,0,0,4009
154,972,1856,1701,0,3979,0,0,0,4717
155,5286,3769,3600,0,5102,0,0,0,644
156,2119,2020,1858,0,1965,0,0,0,3388
157,5260,1740,1595,0,1097,0,0,0,4627
158,235,3022,2876,0,4556,0,0,0,5425
159,2414,3905,3732,0,2090,0,0,0,1042
160,537,1424,1294,0,2646,1,0,0,4144
161,5004,2871,2773,0,1368,0,0,0,5490
162,1522,1648,1548,0,3473,0,0,0,3980
163,299,3743,3579,0,2941,0,0,0,487
164,3246,4986,4852,0,202,0,0,0,462
165,2251,88,38,0,1357,1,0,0,2523
166,201,2948,2817,0,74,0,0,0,123
167,4523,2124,1967,0,2801,0,0,0,4661
168,2915,3439,3265,0,914,0,0,0,231
169,69,491,406,0,2192,0,0,0,2808
170,3258,981,892,0,2945,0,0,0,3596
171,3203,2008,1849,0,2278,1,0,0,4806
172,3619,409,331,0,4729,0,0,0,2819
173,1897,5062,4941,0,5031,0,0,0,1630
174,3413,2564,2417,0,320,0,0,0,3667
175,1116,1228,1115,0,2765,0,0,0,3769
176,2621,1516,1386,0,3983,0,0,0,4051
177,810,4779,4626,0,1335,0,0,0,1791
178,5045,5013,4884,0,5232,0,0,0,1496
179,3690,3806,3640,0,3219,0,0,0,1392
180,4823,2411,2263,0,4216,0,0,0,5132
181,1911,3412,3237,0,2317,0,0,0,675
182,3992,1661,1509,0,3795,0,0,0,4108
183,3315,2321,2168,0,3076,1,0,0,5000
184,3098,2949,2819,0,2882,0,0,0,128
