row_id,name,startdate,enddate,description,eventattendancemode,offers,organizer,performer,url,page_url
3541,2289,4263,4454,767,1,1,0,0,0,5556
3542,2605,3067,3204,1384,1,1,0,0,0,713
3543,868,233,225,1395,1,0,0,0,0,2980
3544,1096,3774,3942,1276,1,0,0,0,0,3260
3545,518,2494,2610,368,1,0,0,0,0,267
3546,1455,4040,4223,1141,1,0,0,0,0,4278
3547,313,184,181,1662,1,0,0,0,0,2047
3548,2597,1553,1620,2219,1,0,0,0,0,6688
3549,1048,362,362,2087,1,0,0,0,0,3230
3550,1242,3032,3169,275,1,1,0,0,0,3536
3551,162,3779,3947,253,1,0,0,0,0,1870
3552,247,3258,3398,1889,1,0,0,0,0,1964
3553,545,1829,1897,13,1,0,0,0,0,361
3554,929,3074,3212,766,1,0,0,0,0,3085
3555,764,4479,4678,976,1,0,0,0,0,2803
3556,1542,4118,4302,1523,1,0,0,0,0,4466
3557,626,1425,1489,2614,1,0,0,0,0,429
3558,2493,5137,5363,1254,1,0,2,0,0,6389
3559,2312,1648,1714,1142,1,0,0,0,0,5618
3560,821,5022,5242,1067,1,1,0,0,0,619
3561,277,2992,3126,273,1,0,0,0,0,1997
3562,1249,2955,3088,1094,1,0,0,0,0,3817
3563,82,2134,2226,2451,1,0,0,0,1,1692
3564,1736,2403,2516,2474,1,0,0,0,1,1692
3565,1035,2629,2749,2282,1,0,0,0,1,1692
3566,1994,1734,1797,780,1,0,0,0,0,5188
3567,1455,5085,5308,1141,1,0,0,0,0,4302
3568,821,5555,5791,1067,1,0,0,0,0,2920
3569,1949,903,940,2158,1,0,0,0,0,1547
3570,1242,4985,5206,275,1,1,0,0,0,3576
3571,1249,5371,5599,1094,1,0,0,0,0,3872
3572,48,1800,1865,14,1,0,0,0,0,1758
3573,1252,2413,2527,1558,1,0,0,0,0,3634
3574,1383,3111,3251,2365,1,0,0,0,0,4182
3575,2000,1914,1991,794,1,0,0,0,0,5202
3576,1244,4685,4900,1556,1,1,0,0,0,1136
3577,1601,2027,2109,44,1,0,0,0,0,1360
3578,111,959,998,400,1,0,0,0,0,1822
3579,2486,1536,1606,2486,1,0,0,0,0,1666
3580,2493,5008,5229,1254,1,1,2,0,0,6090
3581,1118,2552,2671,905,1,0,0,0,0,3292
3582,1542,5515,5747,1523,1,0,0,0,0,4503
3583,2073,3597,3755,2226,1,0,0,0,0,5289
3584,498,4220,4406,865,1,0,0,0,0,2299
3585,1247,5593,5828,1558,1,0,0,0,0,3951
3586,1455,5453,5683,1141,1,0,0,0,0,4314
3587,1549,547,559,772,1,0,0,0,0,4518
3588,2583,2998,3132,1167,1,1,0,0,0,6668
3589,1542,3839,4010,1523,1,0,0,0,0,4460
3590,2493,4937,5158,1254,1,0,2,0,0,6349
3591,523,1074,1114,1252,1,0,0,0,0,2377
3592,595,1102,1142,2125,1,0,0,0,0,445
3593,432,764,800,299,1,0,0,0,0,2176
3594,706,4596,4802,2176,1,0,0,0,0,1746
3595,2502,2153,2246,1193,1,0,0,0,0,6572
3596,2493,5629,5874,1254,1,1,2,0,0,6245
