row_id,name,startdate,location,description,offers,page_url
190,1219,1673,6,2153,1,7
191,304,1602,6,2802,1,7
192,3469,1068,0,1530,0,3581
193,2203,1319,0,3901,0,1031
194,3235,1655,0,423,0,3483
195,3552,1392,0,3879,0,4080
196,2596,761,0,2759,0,2803
197,1572,952,0,4184,0,3925
198,1780,1717,0,2106,0,3328
199,2410,71,0,3665,0,3158
200,1417,1516,0,4115,0,2956
201,3474,1044,6,3804,1,824
202,1404,1063,6,2291,1,933
203,1650,1661,6,884,1,754
204,151,1249,0,2100,0,1005
205,1988,1233,6,3182,1,389
206,407,269,0,2971,0,2625
207,1628,1681,6,994,1,69
208,1571,1672,6,631,1,69
209,2370,241,6,3379,1,69
210,2541,1747,6,3799,1,934
211,3243,1615,0,4511,0,3460
212,2641,1739,6,3625,1,321
213,812,1747,6,1077,1,321
214,121,1507,0,300,0,2301
215,3618,91,0,883,1,3785
216,422,374,0,2868,0,2608
217,2873,1581,0,4085,0,4549
218,2703,1081,0,4137,1,2357
219,3130,374,0,4436,0,3920
220,1096,1028,6,4609,1,227
221,975,1229,0,3695,0,1807
222,1025,1739,0,3691,0,2161
223,1097,735,0,2328,0,2227
224,2302,796,0,2003,1,1903
225,2543,1755,0,2197,1,4321
226,3184,1673,6,4484,1,595
227,450,1091,0,2919,1,2680
228,2546,315,6,2104,1,904
229,2689,630,0,1855,0,2467
230,1989,1177,6,75,1,691
231,1908,1207,0,3169,0,2194
232,2416,610,0,3970,0,3126
233,3102,1341,6,2322,1,467
234,1060,974,0,898,0,2112
235,2886,1074,0,170,0,3294
236,3697,1714,0,3810,0,2234
237,2924,401,0,611,0,1562
238,666,965,0,2416,0,1796
239,3385,767,0,1382,0,2175
240,2572,1288,0,3839,0,2406
241,585,482,0,379,0,3971
242,824,1451,0,2549,0,4355
243,1216,1375,0,3264,0,1438
244,1130,1215,0,2716,0,2296
245,23,755,0,27,0,2882
246,1398,1681,6,4373,1,966
247,3602,962,0,4161,0,4209
248,464,862,0,3290,0,2658
249,2109,1728,0,3467,0,2254
250,3248,1537,0,1231,0,3283
251,3428,1704,0,1394,0,2271
252,2019,1694,6,2610,1,529
253,1557,6,0,1556,0,4151
254,2854,1469,0,3450,1,4684
255,681,578,0,1806,0,1865
256,3463,1059,0,4057,0,4266
257,1260,1326,0,2120,0,4459
258,1732,948,0,4372,0,3891
259,888,1296,6,4395,1,764
260,1271,952,0,2319,0,2418
261,3704,1739,0,4165,0,4079
262,2414,889,0,3667,0,3167
263,1430,1687,0,315,0,2185
264,1083,979,0,1694,0,2038
265,2889,1405,0,1646,1,2333
266,780,121,0,2032,0,3662
267,2580,1299,0,1153,0,3876
