row_id,name,startdate,enddate,location,description,eventattendancemode,page_url
1971,2470,3557,3847,0,2946,0,5554
1972,1734,739,744,0,3292,0,1570
1973,647,2918,3117,1,2782,0,3515
1974,781,699,703,0,174,0,350
1975,1029,1111,1153,0,872,0,3495
1976,937,1821,1942,0,2746,0,2609
1977,4492,773,778,0,3175,0,735
1978,2701,1347,1417,0,2246,0,404
1979,489,896,916,0,429,0,5139
1980,888,298,299,0,694,0,895
1981,1007,1796,1916,0,1068,0,5906
1982,4241,1485,1575,0,361,0,4790
1983,2944,1133,1167,0,2242,0,5153
1984,1828,3390,3636,0,37,0,762
1985,1537,1160,1206,0,2808,0,2069
1986,3703,1943,2085,0,1193,0,4173
1987,2500,3630,3946,0,2783,0,3518
1988,1692,1735,1844,0,470,0,4269
1989,2564,1813,1934,1,1743,1,4781
1990,757,2413,2578,0,521,0,5398
1991,638,3529,3833,0,114,0,5684
1992,922,666,669,1,649,1,906
1993,675,3294,3534,0,1631,0,645
1994,3059,1039,4256,1,1884,1,1872
1995,1000,3750,4099,0,1155,0,4196
1996,4364,3045,3260,0,3353,0,6099
1997,1736,2687,2871,0,1149,0,5727
1998,4047,2430,2591,0,3200,0,4485
1999,2921,3854,4231,0,2891,0,1863
2000,429,1049,1079,0,655,0,550
2001,1057,2769,2962,0,777,0,3991
2002,1228,195,196,0,2008,0,1330
2003,1994,1566,1676,0,1589,0,70
2004,2569,2385,2556,0,2713,0,3570
2005,2583,112,112,0,883,0,243
2006,3832,3959,4371,1,2560,1,3224
2007,3165,2509,2675,0,2456,0,4132
2008,608,3847,4224,0,2144,0,1336
2009,653,3990,4406,0,2726,0,1520
2010,4366,3537,3822,0,607,0,2766
2011,4182,1158,1199,0,3089,0,4588
2012,314,3994,4411,1,915,0,358
2013,1392,833,847,0,1323,0,2508
2014,3561,1292,1357,0,1110,0,3835
2015,2334,3507,3781,0,3188,0,429
2016,2008,718,722,0,2506,0,1261
2017,4520,3994,4411,1,1782,0,4247
2018,2481,3476,3738,0,2073,0,4530
2019,2822,2655,2842,0,2713,0,1004
2020,341,1879,2009,0,993,0,1137
2021,757,2398,2564,0,521,0,5381
2022,1188,3423,3673,1,2731,0,3767
2023,4352,2066,2224,0,1075,0,1935
2024,951,1474,1561,0,3366,0,3449
2025,2446,3206,3453,0,88,0,4102
2026,2852,3423,3673,0,2281,0,5585
2027,1962,3541,3830,0,2559,0,1648
2028,1729,3151,3374,0,3043,0,2169
2029,494,465,465,0,1174,0,1990
2030,3012,3107,3327,0,2713,0,3611
2031,4364,2628,2812,0,3353,0,6021
2032,1057,2804,2997,0,777,0,4021
2033,4327,3188,3423,0,3472,0,5853
2034,1278,3363,4030,1,205,0,195
2035,3810,3240,3477,0,501,0,2306
2036,3301,3217,3453,0,1358,0,3024
2037,1906,2762,2948,0,1566,0,4511
2038,482,2860,3060,0,2713,0,3597
2039,1259,3475,3765,0,2955,0,4080
2040,396,2314,2481,0,486,0,3262
2041,268,2908,3104,0,1123,0,170
2042,456,3452,3710,0,2776,0,497
2043,1057,2585,2763,0,777,0,3891
2044,2910,3994,4411,1,915,0,1096
2045,243,3386,3628,0,1418,0,1494
2046,1456,3389,3635,0,641,0,1334
2047,137,1732,1841,0,2930,0,3136
2048,2948,2745,2932,0,1097,0,2841
2049,1491,2604,2785,1,1387,0,4222
2050,4063,3648,3969,0,3554,0,1158
2051,1944,2934,3137,0,438,0,3426
2052,1655,3601,3924,0,1425,0,4320
2053,2742,1595,1706,0,2247,0,408
2054,300,2526,2696,0,809,0,209
2055,1883,3656,3981,0,2713,0,3624
2056,1782,2313,2474,0,1145,0,2550
2057,2606,2170,2335,0,2157,0,2747
2058,4184,1183,1234,0,2741,0,5111
2059,165,908,929,0,218,0,2903
2060,2981,2699,2886,0,1926,0,3741
2061,2233,2039,2192,0,1088,0,1306
2062,4068,843,859,0,2762,0,1071
2063,2092,1208,1261,1,366,1,1652
2064,4217,1189,1239,0,3091,0,4593
2065,2998,3893,4284,0,2878,0,5445
2066,2517,3388,3630,0,2152,0,1709
2067,2556,3492,3756,0,3269,0,1712
2068,1090,2314,2476,0,3372,0,3701
2069,4555,2501,2674,0,1761,0,3740
