row_id,name,startdate,enddate,description,eventattendancemode,offers,performer,url,page_url
246,1646,1021,1023,2562,0,0,0,0,2224
247,4667,976,978,2823,0,1,0,0,5258
248,1787,1874,1886,1217,0,0,0,0,2369
249,423,1660,1671,4636,0,1,0,0,940
250,3984,827,829,604,0,1,0,0,4575
251,34,858,860,2478,0,1,0,0,34
252,1399,2111,2124,2795,0,0,0,0,1990
253,1727,1991,2003,3426,0,0,0,0,2307
254,3469,1854,1866,4521,0,0,0,0,4060
255,275,1983,1995,2923,0,0,0,0,816
256,4314,756,758,2234,0,0,0,0,4910
257,3896,77,77,699,0,0,0,0,4487
258,3452,649,651,956,0,1,0,0,4037
259,2301,494,495,314,0,1,0,0,2898
260,4658,1573,1581,2278,0,1,0,0,5241
261,2556,903,905,2218,0,1,0,0,3000
262,2267,1185,1190,3976,0,1,0,0,2811
263,5078,1883,1895,5549,0,0,0,0,5685
264,3272,836,838,230,0,1,0,0,3856
265,3188,1965,1977,1199,0,0,0,0,3771
266,4269,2200,2212,3658,0,1,0,0,4846
267,4874,1573,1581,2306,0,0,0,0,5490
268,1585,1507,1516,126,0,0,0,0,2172
269,2017,85,85,517,0,1,0,0,2602
270,3554,1891,1903,1215,0,0,0,0,4148
271,5422,504,506,3125,0,1,0,0,333
272,3199,822,824,3499,0,1,0,0,3782
273,2482,815,817,3489,0,0,0,0,3080
274,1678,1376,1384,4325,0,1,0,0,2276
275,2696,1435,1445,5215,0,1,0,0,3312
276,2279,1419,1429,3795,0,1,0,0,2847
277,3605,1930,1942,3936,0,0,0,0,4224
278,1770,1874,1886,4160,0,0,0,0,2350
279,643,189,190,1392,0,0,0,0,1171
280,3809,1653,1664,3050,0,0,0,0,4401
281,4488,1478,1488,4422,0,1,0,0,5080
282,3187,1318,1325,4536,0,1,0,0,3770
283,5568,1805,1817,2403,0,0,0,0,474
284,1195,1799,1811,5168,0,1,0,0,1789
285,5554,1190,1195,4070,0,1,0,0,461
286,2209,867,869,5404,0,0,0,0,2838
287,2481,138,138,1962,0,1,0,0,3079
288,4897,1532,1541,3460,0,1,0,0,5512
289,4644,1122,1127,5456,0,0,0,0,5227
290,372,2103,2116,857,0,0,0,0,919
291,2477,1767,1778,4081,0,0,0,0,3090
292,5617,1622,1631,3672,0,1,0,0,508
293,4929,722,724,4845,0,0,0,0,5548
294,406,1796,1808,1497,0,0,0,0,857
295,5196,901,903,3188,0,1,0,0,91
296,2182,1307,1315,3279,0,1,0,0,2798
297,4093,535,537,4902,0,0,0,0,4696
298,5233,941,943,1250,0,1,0,0,126
299,2207,1530,1539,3347,0,0,0,0,2833
300,2341,331,332,3617,0,1,0,0,2939
301,4356,1182,1187,575,0,1,0,0,4816
302,2955,759,761,281,0,1,0,0,3549
303,1887,1806,1818,3600,0,0,0,0,2474
304,3551,1386,1396,3079,0,1,0,0,4143
305,271,1868,1880,1531,0,0,0,0,812
306,2169,2111,2124,510,0,0,0,0,2780
307,96,1664,1675,1233,0,1,0,0,617
308,4329,930,932,5416,0,1,0,0,4926
309,675,514,516,1722,0,0,0,0,1201
310,1053,1536,1545,4817,0,1,0,0,1582
311,1356,802,804,5307,0,0,0,0,1950
312,2746,1018,1020,2000,0,1,0,0,3332
313,3596,1952,1964,809,0,0,0,0,4201
314,2437,1003,1005,1350,0,1,0,0,3031
315,4235,282,283,5076,0,0,0,0,4834
316,4184,1322,1329,2550,0,1,0,0,4775
317,2446,2174,2188,251,0,0,0,0,3043
318,1607,2149,2161,380,0,1,0,0,2195
319,746,529,531,395,0,1,0,0,1270
320,5601,1851,1863,3160,0,0,0,0,518
321,1509,972,974,1831,0,1,0,0,2095
322,5383,1487,1497,4443,0,1,0,0,292
323,3127,1884,1896,2056,0,0,0,0,3711
324,3194,585,587,5064,0,1,0,0,3777
325,4045,517,519,4893,0,1,0,0,4642
326,381,1768,1779,2875,0,0,0,0,923
327,4758,1422,1432,4331,0,1,0,0,5476
328,126,2070,2083,4281,0,0,0,0,648
329,5237,1899,1911,5758,0,0,0,0,130
330,5374,757,759,5721,0,0,0,0,274
331,362,1910,1922,5277,0,0,0,0,904
332,1151,1426,1436,4435,0,1,0,0,1752
333,2309,2164,2176,1939,0,1,0,0,2910
334,5085,1586,1595,4308,0,0,0,0,5694
335,2408,342,343,27,0,1,0,0,2994
336,2678,1688,1699,3330,0,0,0,0,3285
337,4846,494,495,12,0,1,0,0,5443
338,3088,805,807,3486,0,1,0,0,3531
339,2396,1734,1745,4587,0,0,0,0,2958
340,2407,545,547,5071,0,1,0,0,2993
341,180,2095,2108,2761,0,0,0,0,710
342,5529,1115,1120,4000,0,1,0,0,420
343,302,1671,1682,91,0,0,0,0,737
344,232,2063,2076,1556,0,0,0,0,754
345,3388,1075,1077,4819,0,1,0,0,3978
346,2495,556,558,5057,0,1,0,0,3098
347,1708,1177,1182,2934,0,1,0,0,2285
348,451,867,869,2829,0,1,0,0,981
349,1970,1824,1836,1882,0,1,0,0,2554
350,2883,606,749,312,0,1,0,0,3477
351,4906,1175,1180,2539,0,1,0,0,5523
352,2660,1812,1824,5166,0,1,0,0,3264
353,371,2236,2249,1679,0,0,0,0,917
354,3669,1713,1724,5668,0,0,0,0,4115
355,3377,1779,1790,3693,0,1,0,0,3963
356,3093,672,674,336,0,1,0,0,3675
357,3190,916,918,1125,0,1,0,0,3773
358,5485,995,997,2705,0,1,0,0,405
359,5351,1021,1023,3187,0,0,0,0,161
360,1873,1863,1875,1870,0,0,0,0,2452
361,195,1505,1514,3857,0,1,0,0,675
362,5395,1053,1055,3237,0,1,0,0,305
363,2306,1854,1866,1930,0,0,0,0,2903
364,1656,1323,1330,3682,0,1,0,0,2235
365,2013,1285,1291,1089,0,1,0,0,2598
366,3838,460,461,4869,0,1,0,0,4433
367,1878,1928,1940,632,0,0,0,0,2457
368,4854,847,849,727,0,0,0,0,5460
369,5390,917,919,123,0,0,0,0,300
370,4653,299,300,4444,0,0,0,0,5235
371,2438,864,866,1956,0,1,0,0,3034
372,2456,1332,1339,1960,0,1,0,0,3057
373,2462,2124,2137,3518,0,0,0,0,3066
374,4379,759,761,5288,0,0,0,0,4977
375,262,2050,2063,5651,0,0,0,0,800
376,1667,1173,1178,2570,0,1,0,0,2245
377,3008,2016,2029,2524,0,0,0,0,3601
378,324,2015,2028,1447,0,0,0,0,852
379,386,1745,1756,1457,0,0,0,0,932
380,4581,1382,1392,1593,0,1,0,0,276
381,1616,1791,1803,509,0,0,0,0,2205
382,780,1640,1649,1524,0,0,0,0,1295
383,4850,527,529,5308,0,0,0,0,5447
384,499,2102,2115,104,0,0,0,0,1028
385,2731,939,941,1996,0,1,0,0,3195
386,2092,1311,1318,992,0,1,0,0,2683
387,4946,2044,2057,2316,0,0,0,0,5564
388,4229,128,128,5062,0,1,0,0,4827
389,4696,1714,1725,3407,0,1,0,0,5289
390,259,1243,1248,1143,0,1,0,0,796
391,1463,799,801,3621,0,0,0,0,2122
392,5424,236,237,3124,0,1,0,0,336
393,5139,1224,1229,3149,0,0,0,0,5755
394,2599,1038,1040,3034,0,1,0,0,3185
395,902,1720,1731,4639,0,0,0,0,1422
396,3553,1861,1873,2127,0,0,0,0,4146
397,5661,1008,1010,2421,0,1,0,0,579
398,3653,1201,1206,4532,0,0,0,0,4274
399,5641,1843,1855,1174,0,0,0,0,560
400,345,1830,1842,5218,0,1,0,0,879
401,2701,1227,1232,961,0,1,0,0,3311
402,4015,1106,1110,246,0,0,0,0,4607
403,4521,2029,2042,4322,0,0,0,0,5100
404,1852,2088,2101,4529,0,0,0,0,2431
405,5404,1463,1473,3191,0,1,0,0,309
406,5512,1514,1523,4189,0,1,0,0,425
407,1443,1273,1279,5237,0,1,0,0,2032
408,3155,389,390,4979,0,0,0,0,3737
409,4104,755,757,5,0,0,0,0,4706
410,1790,2060,2073,2713,0,0,0,0,2372
411,5671,988,990,3700,0,0,0,0,592
412,3717,816,818,3622,0,1,0,0,4301
413,2657,443,444,4932,0,0,0,0,3258
414,1461,2078,2091,1826,0,0,0,0,2074
415,5437,1161,1166,573,0,1,0,0,344
416,3592,1903,1915,4104,0,0,0,0,4190
417,612,1178,1183,1710,0,1,0,0,1139
418,1780,1850,1862,4567,0,1,0,0,2360
419,5025,1091,1094,1594,0,1,0,0,5646
