row_id,name,startdate,enddate,location,description,offers,organizer,performer,page_url
132,17,57,60,0,1,0,0,0,237
133,29,20,50,0,7,0,0,0,237
134,56,39,40,0,9,0,0,0,237
135,11,41,41,0,4,0,0,0,237
136,17,49,49,0,1,0,0,0,164
137,17,50,51,0,1,0,0,0,164
138,61,52,56,0,6,1,0,0,164
139,17,53,55,0,1,0,0,0,164
140,17,54,57,0,1,0,0,0,164
141,42,55,59,0,8,0,0,0,164
142,17,57,60,0,1,0,0,0,164
143,29,20,50,0,7,0,0,0,164
144,56,39,40,0,9,0,0,0,164
145,11,41,41,0,4,0,0,0,164
146,17,49,49,0,1,0,0,0,317
147,17,50,51,0,1,0,0,0,317
148,61,52,56,0,6,1,0,0,317
149,17,53,55,0,1,0,0,0,317
150,17,54,57,0,1,0,0,0,317
151,42,55,59,0,8,0,0,0,317
152,17,57,60,0,1,0,0,0,317
153,29,20,50,0,7,0,0,0,317
154,56,39,40,0,9,0,0,0,317
155,11,41,41,0,4,0,0,0,317
156,41,31,32,0,29,0,1,1,218
157,17,49,49,0,1,0,0,0,218
158,17,50,51,0,1,0,0,0,218
159,61,52,56,0,6,1,0,0,218
160,17,53,55,0,1,0,0,0,218
161,17,54,57,0,1,0,0,0,218
162,42,55,59,0,8,0,0,0,218
163,17,57,60,0,1,0,0,0,218
164,29,20,50,0,7,0,0,0,218
165,56,39,40,0,9,0,0,0,218
166,11,41,41,0,4,0,0,0,218
167,17,49,49,0,1,0,0,0,339
168,17,50,51,0,1,0,0,0,339
169,61,52,56,0,6,1,0,0,339
170,17,53,55,0,1,0,0,0,339
171,17,54,57,0,1,0,0,0,339
172,42,55,59,0,8,0,0,0,339
173,17,57,60,0,1,0,0,0,339
174,29,20,50,0,7,0,0,0,339
175,56,39,40,0,9,0,0,0,339
176,11,41,41,0,4,0,0,0,339
177,17,49,49,0,1,0,0,0,377
178,17,50,51,0,1,0,0,0,377
179,61,52,56,0,6,1,0,0,377
180,17,53,55,0,1,0,0,0,377
181,17,54,57,0,1,0,0,0,377
182,42,55,59,0,8,0,0,0,377
183,17,57,60,0,1,0,0,0,377
184,29,20,50,0,7,0,0,0,377
185,56,39,40,0,9,0,0,0,377
186,11,41,41,0,4,0,0,0,377
187,17,49,49,0,1,0,0,0,67
188,17,50,51,0,1,0,0,0,67
189,61,52,56,0,6,1,0,0,67
190,17,53,55,0,1,0,0,0,67
