name,startdate,enddate,location,offers,organizer
109,572,572,-1,-1,-1
109,573,573,-1,-1,-1
110,574,574,-1,-1,-1
110,575,575,-1,-1,-1
110,576,576,-1,-1,-1
110,577,577,-1,-1,-1
110,578,578,-1,-1,-1
111,579,579,-1,-1,-1
111,580,580,-1,-1,-1
111,581,581,-1,-1,-1
111,582,582,-1,-1,-1
111,583,583,-1,-1,-1
112,584,584,-1,-1,-1
112,585,585,-1,-1,-1
113,586,586,-1,-1,-1
113,587,587,-1,-1,-1
113,588,588,-1,-1,-1
113,589,589,-1,-1,-1
113,590,590,-1,-1,-1
113,591,591,-1,-1,-1
114,592,592,-1,-1,-1
114,593,593,-1,-1,-1
115,594,594,-1,-1,-1
115,595,595,-1,-1,-1
116,596,596,-1,-1,-1
116,597,597,-1,-1,-1
116,598,598,-1,-1,-1
116,599,599,-1,-1,-1
116,600,600,-1,-1,-1
116,601,601,-1,-1,-1
117,602,602,-1,-1,-1
117,603,603,-1,-1,-1
117,604,604,-1,-1,-1
117,605,605,-1,-1,-1
117,606,606,-1,-1,-1
117,607,607,-1,-1,-1
117,608,608,-1,-1,-1
117,609,609,-1,-1,-1
117,610,610,-1,-1,-1
117,611,611,-1,-1,-1
117,612,612,-1,-1,-1
117,613,613,-1,-1,-1
117,614,614,-1,-1,-1
117,615,615,-1,-1,-1
117,616,616,-1,-1,-1
117,617,617,-1,-1,-1
117,618,618,-1,-1,-1
117,619,619,-1,-1,-1
117,620,620,-1,-1,-1
117,621,621,-1,-1,-1
117,622,622,-1,-1,-1
117,623,623,-1,-1,-1
117,624,624,-1,-1,-1
117,625,625,-1,-1,-1
117,626,626,-1,-1,-1
117,627,627,-1,-1,-1
117,628,628,-1,-1,-1
117,629,629,-1,-1,-1
117,630,630,-1,-1,-1
117,631,631,-1,-1,-1
118,632,632,-1,-1,-1
118,633,633,-1,-1,-1
118,634,634,-1,-1,-1
118,635,635,-1,-1,-1
118,636,636,-1,-1,-1
118,637,637,-1,-1,-1
119,638,638,-1,-1,-1
119,639,639,-1,-1,-1
119,640,640,-1,-1,-1
119,641,641,-1,-1,-1
119,642,642,-1,-1,-1
119,643,643,-1,-1,-1
120,644,644,-1,-1,-1
121,645,645,-1,-1,-1
121,646,646,-1,-1,-1
121,647,647,-1,-1,-1
121,648,648,-1,-1,-1
121,649,649,-1,-1,-1
122,650,650,-1,-1,-1
123,651,651,-1,-1,-1
123,652,652,-1,-1,-1
124,653,653,-1,-1,-1
124,654,654,-1,-1,-1
124,655,655,-1,-1,-1
124,656,656,-1,-1,-1
124,657,657,-1,-1,-1
125,658,658,-1,-1,-1
125,659,659,-1,-1,-1
125,660,660,-1,-1,-1
125,661,661,-1,-1,-1
125,662,662,-1,-1,-1
125,663,663,-1,-1,-1
125,664,664,-1,-1,-1
125,665,665,-1,-1,-1
125,666,666,-1,-1,-1
125,667,667,-1,-1,-1
125,668,668,-1,-1,-1
125,669,669,-1,-1,-1
125,670,670,-1,-1,-1
125,671,671,-1,-1,-1
125,672,672,-1,-1,-1
125,673,673,-1,-1,-1
125,674,674,-1,-1,-1
125,675,675,-1,-1,-1
125,676,676,-1,-1,-1
125,677,677,-1,-1,-1
125,678,678,-1,-1,-1
125,679,679,-1,-1,-1
125,680,680,-1,-1,-1
125,681,681,-1,-1,-1
125,682,682,-1,-1,-1
126,683,683,-1,-1,-1
126,684,684,-1,-1,-1
126,685,685,-1,-1,-1
126,686,686,-1,-1,-1
126,687,687,-1,-1,-1
127,688,688,-1,-1,-1
127,689,689,-1,-1,-1
127,690,690,-1,-1,-1
127,691,691,-1,-1,-1
127,692,692,-1,-1,-1
128,693,693,-1,-1,-1
129,694,694,-1,-1,-1
130,695,695,-1,-1,-1
130,696,696,-1,-1,-1
131,697,697,-1,-1,-1
131,698,698,-1,-1,-1
131,699,699,-1,-1,-1
131,700,700,-1,-1,-1
131,701,701,-1,-1,-1
131,702,702,-1,-1,-1
132,703,703,-1,-1,-1
132,704,704,-1,-1,-1
133,705,705,-1,-1,-1
133,706,706,-1,-1,-1
134,707,707,-1,-1,-1
134,708,708,-1,-1,-1
134,709,709,-1,-1,-1
134,710,710,-1,-1,-1
134,711,711,-1,-1,-1
134,712,712,-1,-1,-1
135,713,713,-1,-1,-1
135,714,714,-1,-1,-1
135,715,715,-1,-1,-1
135,716,716,-1,-1,-1
135,717,717,-1,-1,-1
135,718,718,-1,-1,-1
135,719,719,-1,-1,-1
135,720,720,-1,-1,-1
135,721,721,-1,-1,-1
135,722,722,-1,-1,-1
135,723,723,-1,-1,-1
135,724,724,-1,-1,-1
135,725,725,-1,-1,-1
135,726,726,-1,-1,-1
135,727,727,-1,-1,-1
135,728,728,-1,-1,-1
135,729,729,-1,-1,-1
135,730,730,-1,-1,-1
135,731,731,-1,-1,-1
135,732,732,-1,-1,-1
135,733,733,-1,-1,-1
135,734,734,-1,-1,-1
135,735,735,-1,-1,-1
135,736,736,-1,-1,-1
135,737,737,-1,-1,-1
135,738,738,-1,-1,-1
135,739,739,-1,-1,-1
135,740,740,-1,-1,-1
135,741,741,-1,-1,-1
135,742,742,-1,-1,-1
136,743,743,-1,-1,-1
136,744,744,-1,-1,-1
136,745,745,-1,-1,-1
136,746,746,-1,-1,-1
136,747,747,-1,-1,-1
136,748,748,-1,-1,-1
137,749,749,-1,-1,-1
137,750,750,-1,-1,-1
137,751,751,-1,-1,-1
137,752,752,-1,-1,-1
137,753,753,-1,-1,-1
137,754,754,-1,-1,-1
138,755,755,-1,-1,-1
139,756,756,-1,-1,-1
140,757,757,-1,-1,-1
141,758,758,-1,-1,-1
142,759,759,-1,-1,-1
142,760,760,-1,-1,-1
143,761,761,-1,-1,-1
143,761,761,-1,-1,-1
144,762,762,-1,-1,-1
145,763,763,-1,-1,-1
145,764,764,-1,-1,-1
145,765,765,-1,-1,-1
145,766,766,-1,-1,-1
145,767,767,-1,-1,-1
146,768,768,-1,-1,-1
147,769,769,-1,-1,-1
147,770,770,-1,-1,-1
148,771,771,-1,-1,-1
148,772,772,-1,-1,-1
148,773,773,-1,-1,-1
148,774,774,-1,-1,-1
148,775,775,-1,-1,-1
149,776,776,-1,-1,-1
149,777,777,-1,-1,-1
149,778,778,-1,-1,-1
149,779,779,-1,-1,-1
149,780,780,-1,-1,-1
149,781,781,-1,-1,-1
149,782,782,-1,-1,-1
149,783,783,-1,-1,-1
149,784,784,-1,-1,-1
149,785,785,-1,-1,-1
149,786,786,-1,-1,-1
149,787,787,-1,-1,-1
149,788,788,-1,-1,-1
149,789,789,-1,-1,-1
149,790,790,-1,-1,-1
149,791,791,-1,-1,-1
149,792,792,-1,-1,-1
149,793,793,-1,-1,-1
149,794,794,-1,-1,-1
149,795,795,-1,-1,-1
149,796,796,-1,-1,-1
149,797,797,-1,-1,-1
149,798,798,-1,-1,-1
149,799,799,-1,-1,-1
149,800,800,-1,-1,-1
150,801,801,-1,-1,-1
