name,author,recipeingredient,recipeyield,preptime,totaltime
613,-1,-1,480,373,430
614,-1,-1,481,374,431
615,-1,-1,482,375,432
616,-1,-1,483,376,433
617,-1,-1,483,377,434
618,-1,-1,484,-1,-1
619,-1,-1,485,378,435
620,-1,-1,-1,-1,-1
621,-1,-1,486,379,436
622,-1,-1,487,380,-1
623,-1,-1,488,381,437
624,-1,-1,-1,-1,-1
625,-1,-1,489,382,438
626,-1,-1,489,383,439
627,-1,-1,490,384,440
628,-1,-1,491,385,-1
629,-1,-1,-1,386,441
630,-1,-1,492,387,442
631,-1,-1,493,388,443
632,-1,-1,494,389,444
633,-1,-1,495,390,445
634,-1,-1,495,391,446
635,-1,-1,496,-1,-1
636,-1,-1,497,392,447
637,-1,-1,498,393,448
638,-1,-1,499,393,449
639,-1,-1,500,-1,-1
640,-1,-1,501,394,450
641,-1,-1,502,395,451
642,-1,-1,503,396,452
643,-1,-1,504,397,453
644,-1,-1,505,398,454
645,-1,-1,-1,399,455
646,-1,-1,506,400,456
647,-1,-1,507,401,457
648,-1,-1,508,-1,458
649,-1,-1,509,402,459
650,-1,-1,510,403,460
651,-1,-1,511,404,461
652,-1,-1,512,405,462
653,-1,-1,513,405,-1
654,-1,-1,-1,-1,-1
655,-1,-1,514,406,463
656,-1,-1,-1,407,464
657,-1,-1,515,408,465
658,-1,-1,516,409,466
659,-1,-1,517,410,467
660,-1,-1,518,411,468
661,-1,-1,519,412,469
662,-1,-1,520,413,-1
663,-1,-1,521,414,470
664,-1,-1,522,415,471
665,-1,-1,523,416,472
666,-1,-1,524,417,473
667,-1,-1,525,418,474
668,-1,-1,-1,419,475
669,-1,-1,526,420,476
670,-1,-1,527,420,477
671,-1,-1,-1,-1,-1
672,-1,-1,528,-1,-1
673,-1,-1,-1,421,478
674,-1,-1,529,421,479
675,-1,-1,530,-1,-1
676,-1,-1,531,422,480
677,-1,-1,532,423,481
678,-1,-1,-1,-1,-1
679,-1,-1,533,-1,-1
680,-1,-1,-1,-1,-1
681,-1,-1,534,-1,482
682,-1,-1,535,424,482
683,-1,-1,536,-1,-1
684,-1,-1,537,424,483
685,-1,-1,538,425,-1
686,-1,-1,539,425,484
687,-1,-1,-1,-1,-1
688,-1,-1,540,426,485
689,-1,-1,541,427,486
690,-1,-1,542,427,487
691,-1,-1,-1,-1,-1
692,-1,-1,-1,428,488
693,-1,-1,543,429,489
694,-1,-1,544,430,490
695,-1,-1,545,430,491
696,-1,-1,546,431,492
697,-1,-1,547,432,493
698,-1,-1,-1,-1,493
699,-1,-1,548,433,494
700,-1,-1,549,433,495
701,-1,-1,550,-1,-1
702,-1,-1,-1,-1,-1
703,-1,-1,551,-1,496
704,-1,-1,552,434,497
705,-1,-1,-1,-1,-1
706,-1,-1,553,-1,498
707,-1,-1,-1,-1,-1
708,-1,-1,-1,-1,-1
709,-1,-1,-1,435,-1
710,-1,-1,554,436,499
711,-1,-1,-1,-1,-1
712,-1,-1,554,437,500
713,-1,-1,555,438,501
714,-1,-1,555,439,502
715,-1,-1,-1,440,503
716,-1,-1,-1,-1,-1
717,-1,-1,556,441,504
718,-1,-1,557,442,505
719,-1,-1,558,442,506
720,-1,-1,559,443,507
721,-1,-1,560,444,508
722,-1,-1,-1,-1,-1
723,-1,-1,-1,-1,-1
724,-1,-1,561,445,508
725,-1,-1,562,-1,-1
726,-1,-1,-1,446,509
727,-1,-1,563,447,510
728,-1,-1,564,448,511
729,-1,-1,565,449,512
730,-1,-1,566,450,513
731,-1,-1,567,451,514
732,-1,-1,568,452,-1
733,-1,-1,569,452,-1
734,-1,-1,570,453,515
735,-1,-1,-1,-1,516
736,-1,-1,571,-1,-1
737,-1,-1,-1,-1,-1
738,-1,-1,572,454,-1
739,-1,-1,573,454,517
740,-1,-1,574,-1,-1
741,-1,-1,575,-1,-1
742,-1,-1,576,454,518
743,-1,-1,577,-1,-1
744,-1,-1,578,455,519
745,-1,-1,579,456,520
746,-1,-1,580,457,521
747,-1,-1,581,458,522
748,-1,-1,582,459,523
749,-1,-1,583,460,524
750,-1,-1,584,461,525
751,-1,-1,585,-1,526
752,-1,-1,586,462,527
753,-1,-1,587,463,528
754,-1,-1,588,464,529
755,-1,-1,588,465,530
756,-1,-1,588,466,531
757,-1,-1,588,467,532
758,-1,-1,589,-1,533
759,-1,-1,590,467,534
760,-1,-1,591,467,535
761,-1,-1,591,468,535
762,-1,-1,592,469,536
763,-1,-1,593,-1,-1
764,-1,-1,594,470,537
765,-1,-1,595,471,538
766,-1,-1,596,-1,-1
767,-1,-1,597,472,539
768,-1,-1,598,473,540
769,-1,-1,599,474,541
770,-1,-1,600,-1,-1
771,-1,-1,601,474,542
772,-1,-1,602,475,-1
773,-1,-1,603,476,543
774,-1,-1,604,-1,544
775,-1,-1,-1,-1,545
776,-1,-1,605,477,545
777,-1,-1,606,-1,-1
