name,author,recipecategory,recipecuisine,aggregaterating,nutrition,suitablefordiet
448,-1,319,208,-1,0,0
449,-1,320,208,-1,0,0
450,-1,320,208,-1,0,0
451,-1,321,208,-1,0,0
452,-1,322,208,-1,0,0
453,-1,323,208,-1,0,0
454,-1,323,208,-1,0,0
455,-1,323,208,-1,0,0
456,-1,324,208,-1,0,0
457,-1,325,208,-1,0,0
458,-1,326,208,-1,0,0
459,-1,327,209,-1,0,0
460,-1,327,210,-1,0,0
461,-1,328,211,-1,0,0
462,-1,328,212,-1,0,0
463,-1,328,213,-1,0,0
464,-1,328,213,-1,0,0
465,-1,329,213,-1,0,0
466,-1,330,214,-1,0,0
467,-1,331,215,-1,0,0
468,-1,332,215,-1,0,0
469,-1,333,215,-1,0,0
470,-1,333,216,-1,0,0
471,-1,334,217,-1,0,0
472,-1,335,218,-1,0,0
473,-1,335,218,-1,0,0
474,-1,336,218,-1,0,0
475,-1,337,218,-1,0,0
476,-1,338,218,-1,0,0
477,-1,339,218,-1,0,0
478,-1,340,219,-1,0,0
479,-1,341,220,-1,0,0
480,-1,341,220,-1,0,0
481,-1,342,221,-1,0,0
482,-1,342,222,-1,0,0
483,-1,342,223,-1,0,0
484,-1,343,224,-1,0,0
485,-1,344,225,-1,0,0
486,-1,344,225,-1,0,0
487,-1,344,225,-1,0,0
488,-1,345,226,-1,0,0
489,-1,346,227,-1,0,0
490,-1,346,228,-1,0,0
491,-1,347,229,-1,0,0
492,-1,347,230,-1,0,0
493,-1,348,230,-1,0,0
494,-1,349,230,-1,0,0
495,-1,349,230,-1,0,0
496,-1,350,230,-1,0,0
497,-1,351,230,-1,0,0
498,-1,352,230,-1,0,0
499,-1,353,230,-1,0,0
500,-1,354,231,-1,0,0
501,-1,354,231,-1,0,0
502,-1,355,232,-1,0,0
503,-1,356,232,-1,0,0
504,-1,357,233,-1,0,0
505,-1,357,234,-1,0,0
506,-1,358,235,-1,0,0
507,-1,358,235,-1,0,0
508,-1,359,236,-1,0,0
509,-1,359,237,-1,0,0
510,-1,360,237,-1,0,0
511,-1,361,237,-1,0,0
512,-1,362,237,-1,0,0
513,-1,363,237,-1,0,0
514,-1,364,238,-1,0,0
515,-1,365,239,-1,0,0
516,-1,365,239,-1,0,0
517,-1,366,239,-1,0,0
518,-1,367,239,-1,0,0
519,-1,368,239,-1,0,0
520,-1,369,239,-1,0,0
521,-1,370,239,-1,0,0
522,-1,371,239,-1,0,0
523,-1,372,239,-1,0,0
524,-1,373,240,-1,0,0
525,-1,373,241,-1,0,0
526,-1,374,241,-1,0,0
527,-1,375,241,-1,0,0
528,-1,376,241,-1,0,0
529,-1,377,241,-1,0,0
530,-1,378,241,-1,0,0
