recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,recipecuisine,nutrition,datemodified
0,0,-1,31,362,369,374,384,286,-1,169
0,0,-1,31,362,370,375,385,287,-1,169
0,0,-1,31,363,371,376,386,288,-1,169
0,0,-1,31,364,372,377,387,289,-1,169
0,0,-1,31,364,373,378,388,290,-1,169
0,0,-1,31,365,374,379,389,291,-1,169
0,0,-1,31,366,375,380,390,292,-1,169
0,0,-1,31,367,376,381,391,293,-1,169
0,0,-1,31,368,-1,-1,-1,294,-1,169
0,0,-1,31,369,377,381,392,295,-1,169
0,0,-1,31,370,378,382,393,296,-1,169
0,0,-1,31,371,379,383,394,297,-1,169
0,0,-1,31,371,380,384,395,297,-1,169
0,0,-1,31,372,381,385,396,298,-1,169
0,0,-1,31,373,382,386,397,299,-1,169
0,0,-1,31,374,383,387,398,299,-1,169
0,0,-1,31,374,383,388,399,299,-1,169
0,0,-1,31,375,384,389,400,300,-1,169
0,0,-1,31,376,385,390,401,301,-1,169
0,0,-1,31,377,386,391,402,302,-1,169
0,0,-1,31,378,387,392,403,302,-1,169
0,0,-1,31,379,388,393,404,302,-1,169
0,0,-1,31,380,389,394,405,303,-1,169
0,0,-1,31,381,390,395,406,304,-1,169
0,0,-1,31,382,391,396,407,-1,-1,169
0,0,-1,31,-1,-1,-1,408,-1,-1,170
0,0,-1,31,383,391,397,409,305,-1,171
0,0,-1,31,-1,391,398,-1,-1,-1,171
0,0,-1,31,384,392,399,410,305,-1,172
0,0,-1,31,385,393,400,411,306,-1,172
0,0,-1,31,386,394,401,412,307,-1,172
0,0,-1,31,387,395,-1,413,307,-1,172
0,0,-1,31,388,396,401,414,307,-1,172
0,0,-1,31,-1,-1,-1,415,308,-1,173
0,0,-1,31,-1,396,402,-1,-1,-1,173
0,0,-1,31,389,396,-1,416,309,-1,174
0,0,-1,32,390,396,403,417,310,-1,174
0,0,-1,33,390,397,-1,418,310,-1,174
0,0,-1,33,-1,398,404,-1,-1,-1,175
0,0,-1,33,391,399,405,419,310,-1,176
0,0,-1,33,391,399,406,420,310,-1,176
0,0,-1,33,392,400,407,421,311,-1,176
0,0,-1,33,393,401,408,422,312,-1,176
0,0,-1,33,394,402,409,423,313,-1,176
0,0,-1,33,395,402,410,424,314,-1,176
0,0,-1,33,396,403,411,425,315,-1,177
0,0,-1,33,397,404,412,426,316,-1,178
0,0,-1,33,398,405,413,427,316,-1,178
0,0,-1,33,399,406,414,428,316,-1,178
0,0,-1,33,-1,407,415,-1,-1,-1,179
0,0,-1,33,399,408,416,428,317,-1,180
0,0,-1,33,399,408,417,428,318,-1,180
0,0,-1,33,400,409,418,429,319,-1,180
0,0,-1,33,401,410,419,430,320,-1,181
0,0,-1,33,402,411,-1,431,321,-1,182
0,0,-1,33,402,411,420,432,321,-1,182
0,0,-1,33,402,411,421,433,322,-1,182
0,0,-1,33,403,412,422,434,323,-1,182
0,0,-1,33,403,412,423,-1,324,-1,182
0,0,-1,33,404,412,424,435,325,-1,182
0,0,-1,33,405,413,425,436,325,-1,182
0,0,-1,33,406,414,-1,437,325,-1,182
0,0,-1,33,407,415,426,438,326,-1,182
0,0,-1,33,-1,416,-1,-1,-1,-1,183
0,0,-1,33,-1,417,427,439,-1,-1,183
0,0,-1,33,408,418,428,440,327,-1,184
0,0,-1,33,408,419,-1,441,328,-1,184
0,0,-1,33,409,420,429,442,329,-1,184
0,0,-1,33,410,420,-1,443,-1,-1,185
0,0,-1,33,411,420,430,444,329,-1,186
0,0,-1,33,412,421,-1,445,329,-1,186
0,0,-1,33,413,421,431,446,329,-1,186
0,0,-1,33,414,422,-1,447,329,-1,186
0,0,-1,33,415,422,432,448,330,-1,186
0,0,-1,33,415,422,433,448,331,-1,186
0,0,-1,33,416,423,-1,449,-1,-1,186
0,0,-1,33,417,423,434,450,332,-1,186
