recipeinstructions,author,recipeingredient,datepublished,recipeyield,recipecategory,totaltime,keywords,recipecuisine,aggregaterating,nutrition
-1,0,-1,1665,904,0,1364,1377,1405,0,-1
-1,0,-1,1666,904,0,1365,1378,1406,0,-1
-1,0,-1,1667,905,0,1366,1379,1407,0,-1
-1,0,-1,1668,906,0,1366,1380,1408,0,-1
-1,0,-1,1669,906,0,1366,1381,1409,0,-1
-1,0,-1,1670,907,0,1366,1382,1410,0,-1
-1,0,-1,1671,907,0,1367,1383,1411,0,-1
-1,0,-1,1672,908,0,1368,1384,1412,0,-1
-1,0,-1,1673,909,0,-1,1385,1413,0,-1
-1,0,-1,1674,910,0,1369,1386,1414,0,-1
-1,0,-1,1675,910,0,1369,1386,1414,0,-1
-1,0,-1,1676,910,0,1370,1387,1415,0,-1
-1,0,-1,1677,910,0,1371,1388,1416,0,-1
-1,0,-1,1678,911,0,1372,1389,1417,0,-1
-1,0,-1,1679,912,0,1373,1390,1418,0,-1
-1,0,-1,1680,913,0,1374,-1,1418,0,-1
-1,0,-1,1681,913,0,1374,1391,1419,0,-1
-1,0,-1,1682,914,0,1375,1392,1420,0,-1
-1,0,-1,1683,914,0,1375,1393,1421,0,-1
-1,0,-1,1684,915,0,1376,-1,1422,0,-1
-1,0,-1,1685,916,0,1377,1394,1423,0,-1
-1,0,-1,1686,916,0,1377,1395,1424,0,-1
-1,0,-1,1687,917,0,1378,1396,1425,0,-1
-1,0,-1,1688,918,0,1379,1397,1426,0,-1
-1,0,-1,1689,918,0,1380,1398,1427,0,-1
-1,0,-1,1690,918,0,1381,1399,1428,0,-1
-1,0,-1,1691,919,0,1382,1400,1429,0,-1
-1,0,-1,1692,920,0,1383,1401,1430,0,-1
-1,0,-1,1693,920,0,1384,1402,1431,0,-1
-1,0,-1,1694,920,0,-1,1403,1432,0,-1
34,0,-1,1695,921,0,1385,1404,1433,0,-1
-1,0,-1,1696,922,0,1386,1405,1434,0,-1
-1,0,-1,1697,922,0,1387,1406,1435,0,-1
-1,0,-1,1698,923,0,1388,1407,1436,0,-1
-1,0,-1,1699,923,0,1389,1408,1437,0,-1
-1,0,-1,1700,924,0,1390,1409,1437,0,-1
-1,0,-1,1701,925,0,1391,1410,1438,0,-1
-1,0,-1,1702,926,0,1392,1411,1439,0,-1
-1,0,-1,1703,927,0,1392,-1,1440,0,-1
-1,0,-1,1704,928,0,1393,1412,1441,0,-1
-1,0,-1,1705,929,0,1394,1413,1442,0,-1
-1,0,-1,1706,929,0,1395,1414,1443,0,-1
-1,0,-1,1707,929,0,1396,1415,1444,0,-1
-1,0,-1,1708,929,0,1397,1416,1445,0,-1
-1,0,-1,1709,930,0,1398,1417,1446,0,-1
-1,0,-1,1710,930,0,1399,1418,1447,0,-1
-1,0,-1,1711,930,0,1400,1419,1448,0,-1
-1,0,-1,1712,931,0,1401,1420,1449,0,-1
-1,0,-1,1713,931,0,1402,1421,1450,0,-1
-1,0,-1,1714,932,0,1403,1422,1451,0,-1
-1,0,-1,1715,932,0,1404,1422,1451,0,-1
-1,0,-1,1716,932,0,-1,1423,1452,0,-1
-1,0,-1,1717,933,0,1405,1424,1453,0,-1
-1,0,-1,1718,934,0,1406,1425,1454,0,-1
-1,0,-1,1719,935,0,1407,1426,1455,0,-1
-1,0,-1,1720,936,0,1408,1427,1456,0,-1
-1,0,-1,1721,937,0,1409,1428,1457,0,-1
-1,0,-1,1722,938,0,1410,-1,1458,0,-1
-1,0,-1,1723,939,0,1411,1429,1459,0,-1
-1,0,-1,1724,940,0,1412,-1,1460,0,-1
-1,0,-1,1725,941,0,1413,1430,1461,0,-1
-1,0,-1,1726,942,0,1414,-1,1462,0,-1
-1,0,-1,1727,943,0,1415,1431,1463,0,-1
-1,0,-1,1728,944,0,1416,-1,1464,0,-1
-1,0,-1,1729,945,0,1417,1432,1465,0,-1
-1,0,-1,1730,946,0,1418,1433,1466,0,-1
-1,0,-1,1731,946,0,1419,1434,1467,0,-1
-1,0,-1,1732,947,0,1420,1435,1468,0,-1
-1,0,-1,1733,947,0,1420,1436,1469,0,-1
-1,0,-1,1734,948,0,1421,1437,1470,0,-1
-1,0,-1,1735,948,0,1422,1437,1470,0,-1
-1,0,-1,1736,948,0,-1,1437,1470,0,-1
-1,0,-1,1737,948,0,1423,1438,1471,0,-1
-1,0,-1,1738,949,0,1424,1439,1472,0,-1
-1,0,-1,1739,950,0,1424,1440,1473,0,-1
-1,0,-1,1740,951,0,1424,1441,1474,0,-1
-1,0,-1,1741,-1,0,-1,1442,1475,0,-1
-1,0,-1,1742,952,0,1425,1443,1476,0,-1
-1,0,-1,1743,952,0,1425,1443,1476,0,-1
-1,0,-1,1744,952,0,1426,1444,1477,0,-1
-1,0,-1,1745,952,0,1427,1445,1478,0,-1
-1,0,-1,1746,952,0,-1,1445,1478,0,-1
-1,0,-1,1747,952,0,1428,1446,1479,0,-1
-1,0,-1,1748,952,0,1429,1447,1480,0,-1
-1,0,-1,1749,952,0,1430,1448,1481,0,-1
-1,0,-1,1750,952,0,-1,1449,1482,0,-1
-1,0,-1,1751,952,0,1431,1450,1483,0,-1
-1,0,-1,1752,952,0,1432,1451,1484,0,-1
-1,0,-1,1753,952,0,1433,1451,1484,0,-1
-1,0,-1,1754,952,0,1434,1452,1485,0,-1
-1,0,-1,1755,952,0,1435,1452,1485,0,-1
-1,0,-1,1756,953,0,1436,1453,1486,0,-1
-1,0,-1,1757,954,0,1437,1454,1487,0,-1
-1,0,-1,1758,955,0,1437,1454,1487,0,-1
-1,0,-1,1759,956,0,1438,1454,1487,0,-1
-1,0,-1,1760,957,0,1439,1455,1488,0,-1
-1,0,-1,1761,958,0,1440,1456,1489,0,-1
-1,0,-1,1762,958,0,1441,-1,1490,0,-1
-1,0,-1,1763,959,0,1442,-1,1490,0,-1
-1,0,-1,1764,960,0,1443,1456,1491,0,-1
-1,0,-1,1765,961,0,1444,1457,1492,0,-1
-1,0,-1,1766,962,0,-1,1458,1493,0,-1
-1,0,-1,1767,963,0,1445,1459,1494,0,-1
-1,0,-1,1768,-1,0,-1,1460,1495,0,-1
-1,0,-1,1769,964,0,1446,1460,1495,0,-1
-1,0,-1,1770,965,0,1447,1461,1495,0,-1
-1,0,-1,1771,965,0,1448,1462,1496,0,-1
-1,0,-1,1772,966,0,1449,1463,1497,0,-1
-1,0,-1,1773,966,0,1450,1464,1498,0,-1
-1,0,-1,1774,967,0,1451,1465,1499,0,-1
