name,recipeinstructions,author,recipeingredient,recipeyield,preptime,keywords,aggregaterating,nutrition,inlanguage,yield
12680,-1,1,-1,3908,-1,-1,-1,-1,1,3882
12681,-1,1,-1,3908,5587,-1,-1,-1,1,3882
12682,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12683,-1,1,-1,3908,5588,816,-1,-1,1,3882
12684,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12685,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12686,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12687,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12688,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12689,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12690,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12691,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12692,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12693,-1,1,-1,-1,5589,-1,-1,-1,1,-1
12694,-1,1,-1,3909,5590,-1,-1,-1,1,3883
12695,-1,1,-1,3910,5591,-1,-1,-1,1,3884
12696,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12697,-1,1,-1,3911,5592,-1,-1,-1,1,3885
12698,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12699,-1,1,-1,3911,5592,-1,-1,-1,1,3885
12700,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12701,-1,-1,-1,3912,5593,-1,-1,-1,-1,-1
12702,-1,-1,-1,3912,5593,-1,-1,-1,-1,-1
12703,-1,1,-1,3912,5594,817,-1,-1,1,3886
12704,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12705,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12706,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12707,-1,1,-1,3912,5595,-1,-1,-1,1,3886
12708,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12709,-1,1,-1,3913,-1,818,-1,-1,1,3887
12710,-1,1,-1,3914,-1,-1,-1,-1,1,3888
12711,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12712,-1,1,-1,3914,-1,-1,-1,-1,1,3888
12713,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12714,-1,1,-1,3915,5596,-1,-1,-1,1,3889
12715,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12716,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12717,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12718,-1,1,-1,3916,5597,-1,-1,-1,1,3890
12719,-1,1,-1,3917,5598,-1,-1,-1,1,3891
12720,-1,1,-1,3918,5599,-1,-1,-1,1,3892
12721,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12722,-1,1,-1,3919,-1,-1,-1,-1,1,3893
12723,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12724,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12725,-1,1,-1,3920,5600,-1,-1,-1,1,3894
12726,-1,1,-1,-1,5601,-1,-1,-1,1,-1
12727,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12728,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12729,-1,1,-1,3921,5602,-1,-1,-1,1,3895
12730,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12731,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12732,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12733,-1,1,-1,-1,-1,819,-1,-1,1,-1
12734,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12735,-1,1,-1,3921,5603,-1,-1,-1,1,3895
12736,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12737,-1,1,-1,-1,5604,820,-1,-1,1,-1
12738,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12739,-1,1,-1,3921,5605,-1,-1,-1,1,3895
12740,-1,1,-1,3922,5606,-1,-1,-1,1,3896
12741,-1,1,-1,-1,5607,-1,-1,-1,1,-1
12742,-1,1,-1,-1,5608,-1,-1,-1,1,-1
12743,-1,1,-1,3923,5609,-1,-1,-1,1,3897
12744,-1,1,-1,3924,5610,-1,-1,-1,1,3898
12745,-1,1,-1,-1,5611,-1,-1,-1,1,-1
12746,-1,1,-1,3925,5612,-1,-1,-1,1,3899
12747,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12748,-1,1,-1,3926,5613,-1,-1,-1,1,3900
12749,-1,1,-1,3927,5614,-1,-1,-1,1,3901
12750,-1,1,-1,3928,5615,-1,-1,-1,1,3902
12751,-1,1,-1,-1,-1,821,-1,-1,1,-1
12752,-1,1,-1,-1,5616,-1,-1,-1,1,-1
12753,-1,1,-1,3928,-1,-1,-1,-1,1,3902
12754,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12755,-1,1,-1,3928,5617,-1,-1,-1,1,3902
12756,-1,1,-1,3929,5618,-1,-1,-1,1,3903
12757,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12758,-1,1,-1,3930,5619,-1,-1,-1,1,3904
12759,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12760,-1,1,-1,3931,5620,-1,-1,-1,1,3905
12761,-1,1,-1,3932,5621,-1,-1,-1,1,3906
12762,-1,1,-1,-1,5621,-1,-1,-1,1,-1
12763,-1,1,-1,3933,5622,-1,-1,-1,1,3907
12764,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12765,-1,1,-1,3934,5622,822,-1,-1,1,3908
12766,-1,1,-1,-1,-1,-1,-1,-1,1,-1
