recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,totaltime,recipecuisine,aggregaterating,nutrition,mainentityofpage,ispartof
0,0,-1,1707,-1,1190,1323,-1,1640,357,0,-1,0,0
0,0,-1,1708,-1,1191,1324,-1,1641,-1,0,-1,0,0
0,0,-1,1709,-1,1191,1325,-1,1642,-1,0,-1,0,0
0,0,-1,1710,-1,1192,1326,-1,1643,357,0,-1,0,0
0,0,-1,1711,-1,1192,1327,237,1643,-1,0,-1,0,0
0,0,-1,1712,-1,1193,1328,-1,1644,357,0,-1,0,0
0,0,-1,1713,-1,1193,1329,-1,1645,358,0,-1,0,0
0,0,-1,1714,-1,1194,1330,-1,1646,359,0,-1,0,0
0,0,-1,1715,-1,1195,1331,-1,1647,360,0,-1,0,0
0,0,-1,1716,-1,1196,1332,238,1648,361,0,-1,0,0
0,0,-1,1717,-1,1197,1333,-1,1649,362,0,-1,0,0
0,0,-1,1718,-1,1197,1334,-1,1650,362,0,-1,0,0
0,0,-1,1719,-1,1197,1335,238,1651,362,0,-1,0,0
0,0,-1,1720,-1,-1,1336,-1,1652,362,0,-1,0,0
0,0,-1,1721,-1,1198,1337,-1,1653,-1,0,-1,0,0
0,0,-1,1722,-1,1199,-1,239,1654,362,0,-1,0,0
0,0,-1,1723,-1,1200,1338,-1,1655,363,0,-1,0,0
0,0,-1,1724,-1,1201,1339,-1,1656,364,0,-1,0,0
0,0,-1,1725,-1,1202,1340,-1,1657,-1,0,-1,0,0
0,0,-1,1726,-1,1203,-1,-1,1658,-1,0,-1,0,0
0,0,-1,1727,-1,1203,1341,-1,1659,364,0,-1,0,0
0,0,-1,1728,-1,1204,1342,-1,1660,364,0,-1,0,0
0,0,-1,1729,-1,1205,1343,-1,1661,364,0,-1,0,0
0,0,-1,1730,-1,1206,1344,-1,1662,364,0,-1,0,0
0,0,-1,1731,-1,1206,1345,-1,1663,364,0,-1,0,0
0,0,-1,1732,-1,1207,1346,-1,1664,364,0,-1,0,0
0,0,-1,1733,-1,1208,1346,240,1665,-1,0,-1,0,0
0,0,-1,1734,-1,1209,-1,241,1666,-1,0,-1,0,0
0,0,-1,1735,-1,1210,1347,-1,1667,364,0,-1,0,0
0,0,-1,1736,-1,1210,1348,-1,1668,365,0,-1,0,0
0,0,-1,1737,-1,1210,1349,242,1669,366,0,-1,0,0
0,0,-1,1738,-1,1211,1350,-1,1670,-1,0,-1,0,0
0,0,-1,1739,-1,1212,1351,-1,1671,366,0,-1,0,0
0,0,-1,1740,-1,1213,1352,-1,1672,366,0,-1,0,0
0,0,-1,1741,-1,1213,-1,-1,1673,366,0,-1,0,0
0,0,-1,1742,-1,1213,1353,-1,1674,366,0,-1,0,0
0,0,-1,1743,-1,1214,1354,-1,1675,366,0,-1,0,0
0,0,-1,1744,-1,1215,1355,-1,1676,366,0,-1,0,0
0,0,-1,1745,-1,1216,1356,-1,1677,366,0,-1,0,0
0,0,-1,1746,-1,1217,1357,-1,1678,366,0,-1,0,0
0,0,-1,1747,-1,1217,1358,-1,1679,366,0,-1,0,0
0,0,-1,1748,-1,1218,1359,-1,1680,-1,0,-1,0,0
0,0,-1,1749,-1,1219,1360,242,1681,367,0,-1,0,0
0,0,-1,1750,-1,1220,1361,-1,1682,368,0,-1,0,0
0,0,-1,1751,-1,1220,-1,-1,1682,368,0,-1,0,0
0,0,-1,1752,-1,1221,-1,-1,1683,368,0,-1,0,0
0,0,-1,1753,-1,1222,1362,242,1684,-1,0,-1,0,0
0,0,-1,1754,-1,1223,-1,243,1685,368,0,-1,0,0
0,0,-1,1755,-1,1224,1363,-1,1686,368,0,-1,0,0
0,0,-1,1756,-1,1225,1364,-1,1687,368,0,-1,0,0
0,0,-1,1757,-1,1226,-1,-1,1687,-1,0,-1,0,0
0,0,-1,1758,-1,1227,1365,-1,1688,368,0,-1,0,0
0,0,-1,1759,-1,1228,-1,-1,1689,368,0,-1,0,0
0,0,-1,1760,-1,1229,-1,243,1690,368,0,-1,0,0
0,0,-1,1761,-1,1229,1366,-1,1691,368,0,-1,0,0
0,0,-1,1762,-1,1229,1367,244,1692,368,0,-1,0,0
0,0,-1,1763,-1,1230,1368,-1,1693,368,0,-1,0,0
0,0,-1,1764,-1,1231,1369,-1,1694,369,0,-1,0,0
0,0,-1,1765,-1,1231,1370,-1,1695,370,0,-1,0,0
0,0,-1,1766,-1,1231,1371,-1,1696,370,0,-1,0,0
0,0,-1,1767,-1,1232,1372,-1,1697,-1,0,-1,0,0
0,0,-1,1768,-1,1233,1373,-1,1698,370,0,-1,0,0
0,0,-1,1769,-1,1234,1374,-1,1699,370,0,-1,0,0
0,0,-1,1770,-1,1235,1375,-1,1700,370,0,-1,0,0
0,0,-1,1771,-1,1236,-1,-1,1701,371,0,-1,0,0
0,0,-1,1772,-1,1236,-1,-1,1701,-1,0,-1,0,0
0,0,-1,1773,-1,1236,-1,245,1701,372,0,-1,0,0
0,0,-1,1774,-1,1237,1376,-1,1702,372,0,-1,0,0
0,0,-1,1775,-1,1237,1377,-1,1703,373,0,-1,0,0
0,0,-1,1776,-1,1238,-1,-1,1704,374,0,-1,0,0
0,0,-1,1777,-1,1238,1378,-1,1705,374,0,-1,0,0
0,0,-1,1778,-1,1239,1379,-1,1706,-1,0,-1,0,0
0,0,-1,1779,-1,1239,1380,-1,1707,374,0,-1,0,0
0,0,-1,1780,-1,1239,1381,-1,1708,374,0,-1,0,0
0,0,-1,1781,-1,1239,1382,-1,1709,374,0,-1,0,0
0,0,-1,1782,-1,1240,1383,-1,1710,374,0,-1,0,0
0,0,-1,1783,-1,1241,1384,246,1711,374,0,-1,0,0
0,0,-1,1784,-1,1242,1385,247,1712,-1,0,-1,0,0
0,0,-1,1785,-1,1243,1386,-1,1713,374,0,-1,0,0
0,0,-1,1786,-1,1243,1387,-1,1714,374,0,-1,0,0
0,0,-1,1787,-1,1244,1388,-1,1715,374,0,-1,0,0
0,0,-1,1788,-1,1245,-1,-1,1716,374,0,-1,0,0
0,0,-1,1789,-1,1246,-1,248,1717,374,0,-1,0,0
0,0,-1,1790,-1,1247,1389,-1,1718,374,0,-1,0,0
0,0,-1,1791,-1,1248,1390,-1,1719,374,0,-1,0,0
0,0,-1,1792,-1,1248,1391,-1,1720,374,0,-1,0,0
0,0,-1,1793,-1,1248,1392,-1,1721,375,0,-1,0,0
0,0,-1,1794,-1,1249,1393,-1,1722,376,0,-1,0,0
0,0,-1,1795,-1,1250,1394,-1,1723,376,0,-1,0,0
0,0,-1,1796,-1,1250,1395,249,1724,377,0,-1,0,0
0,0,-1,1797,-1,1251,1396,-1,1725,378,0,-1,0,0
0,0,-1,1798,-1,1251,1397,-1,1726,-1,0,-1,0,0
0,0,-1,1799,-1,1251,1398,-1,1727,378,0,-1,0,0
0,0,-1,1800,-1,1252,1399,-1,1728,-1,0,-1,0,0
0,0,-1,1801,-1,1253,1400,-1,1729,-1,0,-1,0,0
0,0,-1,1802,-1,1253,1401,-1,1730,-1,0,-1,0,0
0,0,-1,1803,-1,1254,-1,-1,1731,378,0,-1,0,0
0,0,-1,1804,-1,-1,1402,-1,1732,378,0,-1,0,0
0,0,-1,1805,-1,1255,1402,-1,1733,-1,0,-1,0,0
0,0,-1,1806,-1,1256,1403,249,1734,378,0,-1,0,0
0,0,-1,1807,-1,1257,1404,-1,1735,-1,0,-1,0,0
0,0,-1,1808,-1,1258,1405,-1,1736,378,0,-1,0,0
0,0,-1,1809,-1,1259,1406,-1,1737,378,0,-1,0,0
0,0,-1,1810,-1,1260,1407,-1,1738,378,0,-1,0,0
